sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s33-110-7,u007,2025-06-09,16.362833091336118,5.736833091336117,0.7482825771307978,0.6493985449027353,0,3.0,variable,0.0
s33-110-24,u024,2025-06-09,8.391802258535277,8.391802258535277,1.0945829032872099,0.0,0,5.75,regular,0.0
s33-110-58,u058,2025-06-09,13.954807693327771,2.429980583394192,0.3169539891383729,0.8258678559536122,0,4.25,new,0.0
s33-110-6,u006,2025-06-09,19.35159535324849,14.831741196177125,1.9345749386317983,0.23356493738965212,0,4.75,variable,0.0
s33-110-0,u000,2025-06-09,28.351488024701258,26.833488024701257,3.5000201771349446,0.05354216324298189,0,5.25,regular,0.0
s33-110-17,u017,2025-06-09,22.2619715045596,19.225971504559602,2.507735413638208,0.13637606172383154,0,6.5,regular,0.0
s33-110-34,u034,2025-06-09,10.85935851238035,8.074821485574178,1.0532375850748925,0.256418187467669,0,5.75,variable,0.0
s33-110-35,u035,2025-06-09,20.25794529492751,18.73994529492751,2.472226019900042,0.07493356201233792,0,5.75,regular,0.0
s33-110-40,u040,2025-06-09,21.587396646649292,18.551396646649295,2.4197473886933856,0.14063761599855684,0,6.5,regular,0.0
s33-110-43,u043,2025-06-09,23.27693322220459,13.418658261158713,1.8255961579928806,0.423521211619139,0,4.75,variable,0.0
s33-110-14,u014,2025-06-09,18.868731064118627,17.350731064118627,2.263138834450255,0.08045056102827586,0,6.0,regular,0.0
s33-110-15,u015,2025-06-09,13.317361840946734,11.474949944821324,1.7302607087782438,0.13834661234934453,0,6.5,variable,0.0
s33-110-18,u018,2025-06-09,24.401845747716127,17.918164441728926,2.6341518837037725,0.2657045443619377,0,6.0,variable,0.0
s33-110-32,u032,2025-06-09,28.122423999652035,27.059823999652036,3.6186422608241773,0.03778479408507418,0,5.5,regular,0.0
s33-110-8,u008,2025-06-09,18.668553145265264,18.668553145265264,2.732028671121556,0.0,0,5.75,regular,0.0
s33-110-51,u051,2025-06-09,10.325707328196449,10.325707328196449,1.9408313906343195,0.0,0,6.5,regular,0.0
s33-110-41,u041,2025-06-09,14.018505893608573,14.018505893608573,2.1804190969984716,0.0,0,6.75,regular,0.0
s33-110-53,u053,2025-06-09,22.425521142650254,22.425521142650254,4.103487931533599,0.0,0,6.75,regular,0.0
s33-110-47,u047,2025-06-09,17.839572520724193,17.839572520724193,3.514900763572721,0.0,0,7.25,regular,0.0
s33-110-49,u049,2025-06-09,26.309694721459813,26.309694721459813,5.510699311494757,0.0,0,6.75,variable,0.0
s33-110-21,u021,2025-06-09,19.513579948619316,19.513579948619316,4.6242495585155625,0.0,0,7.75,regular,0.0
s33-110-20,u020,2025-06-09,23.086803567262965,23.086803567262965,5.090322204425603,0.0,0,7.25,variable,0.0
s33-110-22,u022,2025-06-09,25.34853552639449,25.34853552639449,4.846718742770003,0.0,0,7.75,regular,0.0
s33-110-38,u038,2025-06-09,23.43180081085242,23.43180081085242,5.135321844893793,0.0,0,6.5,regular,0.0
s33-110-55,u055,2025-06-09,30.81149494037015,30.81149494037015,5.800890644396106,0.0,0,8.5,new,0.0
s33-110-23,u023,2025-06-09,14.594134220119463,14.594134220119463,2.2005827243634077,0.0,0,10.0,variable,0.0
s33-110-44,u044,2025-06-09,23.993776103023748,23.993776037947722,5.208623703514901,2.712204461019496e-09,0,10.5,variable,0.0
s33-111-6,u006,2025-06-10,20.373257769221382,9.053185254967516,1.1808502506479368,0.5556338923544917,0,2.0,variable,0.4039244907436267
s33-111-7,u007,2025-06-10,15.229526360038145,4.603526360038142,0.6004599600049749,0.6977236027433087,0,2.75,variable,0.0
s33-111-26,u026,2025-06-10,22.21166291046569,6.663108761909344,0.8691011428577403,0.7000175633509267,0,3.5,variable,0.04320536082030657
s33-111-14,u014,2025-06-10,20.21151329557647,20.21151329557647,2.636284342901278,0.0,0,5.5,regular,0.0
s33-111-5,u005,2025-06-10,15.292365423912882,6.184365423912882,0.8066563596408107,0.5955913128885669,0,5.0,variable,0.0
s33-111-0,u000,2025-06-10,22.68428322522786,19.734000000000005,2.574,0.13005847246461621,0,5.25,regular,0.0
s33-111-24,u024,2025-06-10,14.697064631140965,13.476684017967095,1.7578283501696206,0.0830356703057602,0,6.5,regular,0.0
s33-111-41,u041,2025-06-10,16.785172141734694,15.267172141734697,1.9913702793566992,0.09043696348074015,0,6.25,regular,0.0
s33-111-42,u042,2025-06-10,19.555257769506536,17.13405375168512,2.234876576306754,0.12381345448674774,0,6.0,variable,0.0
s33-111-50,u050,2025-06-10,10.29552951365454,7.25952951365454,0.9468951539549398,0.2948852699585268,0,5.0,variable,0.0
s33-111-56,u056,2025-06-10,19.645749022907257,17.775204671184024,2.318504957110959,0.09521369480706221,0,7.0,new,0.0
s33-111-8,u008,2025-06-10,18.26480228806305,16.74680228806305,2.18436551583431,0.08311067243208459,0,5.5,regular,0.0
s33-111-13,u013,2025-06-10,24.64328169948468,17.053281699484682,2.818341091237132,0.30799469374887334,0,5.0,variable,0.0
s33-111-16,u016,2025-06-10,20.252036040211117,19.88348166359425,2.5934976082949013,0.01819838636891069,0,5.75,regular,0.0
s33-111-35,u035,2025-06-10,24.52617581520265,24.52617581520265,3.4960664106786057,0.0,0,5.5,regular,0.0
s33-111-9,u009,2025-06-10,21.47495171133576,19.95695171133576,2.603080658000316,0.07068700411553008,0,5.75,regular,0.0
s33-111-36,u036,2025-06-10,28.145056863987588,28.145056863987588,3.968094373563597,0.0,0,6.25,regular,0.0
s33-111-2,u002,2025-06-10,18.71971700450449,17.006949652562717,2.526772348095962,0.09149536563665095,0,6.5,variable,0.0
s33-111-55,u055,2025-06-10,26.987959013334425,19.397959108147322,3.7181685793235633,0.2812365285361881,0,5.25,new,0.0
s33-111-30,u030,2025-06-10,15.08524536819276,15.08524536819276,2.4789840443843607,0.0,0,5.5,regular,0.0
s33-111-23,u023,2025-06-10,15.328124690587714,14.264395967054913,3.536439072042007,0.06939718621848023,0,5.75,variable,0.0
s33-111-33,u033,2025-06-10,20.660192021418325,20.660192021418325,3.6987683201630652,0.0,0,7.25,regular,0.0
s33-111-11,u011,2025-06-10,11.164990823484207,11.164990823484207,2.3473031508892435,0.0,0,7.75,variable,0.0
s33-111-46,u046,2025-06-10,12.232061102604266,12.232061102604266,3.27980379643409,0.0,0,7.5,variable,0.0
s33-111-59,u059,2025-06-10,26.426611104791466,26.426611104791466,4.931949274538016,0.0,0,7.0,new,0.0
s33-111-31,u031,2025-06-10,22.074798409074624,22.074798409074624,4.092674639283793,0.0,0,7.75,variable,0.0
s33-111-22,u022,2025-06-10,28.96870809336461,28.968707998552116,6.927865666749713,3.272928039699252e-09,0,7.5,regular,0.0
s33-111-20,u020,2025-06-10,21.729547832293107,21.729547832293107,4.868738872162222,0.0,0,8.25,variable,0.0
s33-111-44,u044,2025-06-10,19.23340390406386,19.23340390406386,4.831506174091956,0.0,0,8.75,variable,0.0
s33-111-57,u057,2025-06-10,9.802045851443655,9.802045851443655,3.06052771975352,0.0,0,8.0,new,0.0
s33-112-50,u050,2025-06-11,15.166858647199021,9.094858647199022,1.18628591050422,0.4003465807417782,0,2.25,variable,0.09922019333099896
s33-112-34,u034,2025-06-11,13.714471336696635,7.870171336696634,1.0265440873952132,0.4261411071939796,0,3.0,variable,0.0
s33-112-39,u039,2025-06-11,22.07201552423715,15.126336120991885,1.9730003636076365,0.3146826077400251,0,4.25,variable,0.0
s33-112-14,u014,2025-06-11,15.230088938731736,13.712088938731736,1.7885333398345735,0.09967111854084876,0,5.25,regular,0.0
s33-112-26,u026,2025-06-11,21.83374158619906,14.24374158619906,1.8578793373303117,0.3476270876448213,0,4.75,variable,0.0
s33-112-32,u032,2025-06-11,25.568967728544003,24.288000000000007,3.1679999999999997,0.05009853124082064,0,4.25,regular,0.0
s33-112-42,u042,2025-06-11,23.423700702200364,20.387700702200362,2.6592653089826555,0.129612311845959,0,5.5,variable,0.0
s33-112-11,u011,2025-06-11,15.022673807469236,8.950673807469235,1.1674791922785956,0.40418903304556997,0,5.0,variable,0.0
s33-112-24,u024,2025-06-11,16.9537535055584,16.9537535055584,2.508359152898921,0.0,0,5.75,regular,0.0
s33-112-58,u058,2025-06-11,14.519974503521516,14.519974503521516,1.893909717850632,0.0,0,6.0,new,0.0
s33-112-0,u000,2025-06-11,30.954632018006443,30.954632018006443,4.175361790419445,0.0,0,6.0,regular,0.0
s33-112-2,u002,2025-06-11,14.952836947461845,14.952836947461845,2.2876589225876773,0.0,0,6.25,variable,0.0
s33-112-20,u020,2025-06-11,27.133115531981446,27.133115531981446,3.7795375249722896,0.0,0,7.25,variable,0.0
s33-112-22,u022,2025-06-11,28.239990030725206,28.239990030725206,4.2774769605293725,0.0,0,6.5,regular,0.0
s33-112-47,u047,2025-06-11,17.53192949698826,17.53192949698826,2.583773412650643,0.0,0,6.75,regular,0.0
s33-112-1,u001,2025-06-11,29.46821667018922,29.468216573224954,4.437680403623287,3.290469452466027e-09,0,7.25,regular,0.0
s33-112-3,u003,2025-06-11,15.80897063653492,15.80897063653492,2.0620396482436845,0.0,0,6.5,regular,0.0
s33-112-27,u027,2025-06-11,14.74896966401333,14.74896966401333,2.220778651827825,0.0,0,6.75,regular,0.0
s33-112-33,u033,2025-06-11,15.26278274551066,15.26278274551066,2.5163342314626616,0.0,0,7.0,regular,0.0
s33-112-45,u045,2025-06-11,16.533577372068326,16.533577372068326,2.4535535702697806,0.0,0,7.5,variable,0.0
s33-112-10,u010,2025-06-11,15.993884757156014,15.993884757156014,2.6801588813681745,0.0,0,7.5,regular,0.0
s33-112-21,u021,2025-06-11,22.285152868210737,22.285152868210737,3.2037590697666163,0.0,0,6.75,regular,0.0
s33-112-4,u004,2025-06-11,18.084294729098357,18.084294729098357,2.3588210516215242,0.0,0,6.75,variable,0.0
s33-112-44,u044,2025-06-11,15.746152954217777,15.746152954217777,2.350846037506666,0.0,0,8.75,variable,0.0
s33-113-58,u058,2025-06-12,13.75488274606567,7.682882746065667,1.002115140791174,0.4414432396188027,0,4.5,new,0.0
s33-113-5,u005,2025-06-12,17.713909203140517,8.704493916946241,1.1353687717755967,0.5086068344867087,0,5.25,variable,0.0
s33-113-6,u006,2025-06-12,21.916045606478345,15.844045606478346,2.066614644323262,0.27705728072609626,0,4.25,variable,0.0
s33-113-0,u000,2025-06-12,28.89758460534113,28.897584504042175,3.7692501527011517,3.505447154772412e-09,0,6.5,regular,0.0
s33-113-12,u012,2025-06-12,17.15907599393868,15.641075993938678,2.040140347035479,0.08846630206289796,0,5.75,variable,0.0
s33-113-55,u055,2025-06-12,18.647057482313095,12.334006952564208,1.6087835155518528,0.33855478462148103,0,5.5,new,0.0
s33-113-27,u027,2025-06-12,18.7107522716443,18.31565926225111,2.3889990342066656,0.02111582707403714,0,6.25,regular,0.0
s33-113-23,u023,2025-06-12,13.751284276694832,10.715284276694833,1.5553329088671803,0.22077937877739173,0,7.0,variable,0.0
s33-113-32,u032,2025-06-12,22.124192996670438,22.124192996670438,3.182764303913535,0.0,0,6.0,regular,0.0
s33-113-38,u038,2025-06-12,23.64186961803117,23.64186961803117,3.3807221240910206,0.0,0,7.25,regular,0.0
s33-113-54,u054,2025-06-12,15.670573378951282,11.11657337895128,2.043987832037123,0.2906083836164499,0,5.5,new,0.0
s33-113-16,u016,2025-06-12,22.95313370510591,22.95313370510591,3.2908870050138135,0.0,0,7.0,regular,0.0
s33-113-49,u049,2025-06-12,24.13022764472615,21.888280588151133,3.6043513047767735,0.09291031521059911,0,7.25,variable,0.0
s33-113-53,u053,2025-06-12,20.658282113858213,19.140282113858213,3.3481184232776444,0.07348142462347729,0,6.5,regular,0.0
s33-113-20,u020,2025-06-12,25.880363670240104,25.880363670240104,4.266699609161751,0.0,0,7.25,variable,0.0
s33-113-8,u008,2025-06-12,18.035280794202354,18.035280794202354,2.3847252179902068,0.0,0,7.25,regular,0.0
s33-113-10,u010,2025-06-12,13.722756496761367,13.722756496761367,2.1437274721354944,0.0,0,7.75,regular,0.0
s33-113-21,u021,2025-06-12,19.875247937104792,19.875247937104792,3.48342364397019,0.0,0,8.0,regular,0.0
s33-113-29,u029,2025-06-12,27.45268705841462,27.45268696999458,5.191535877976204,3.220815503190977e-09,0,6.5,regular,0.0
s33-113-3,u003,2025-06-12,10.968406371953707,10.968406371953707,2.915661700689613,0.0,0,7.0,regular,0.0
s33-113-56,u056,2025-06-12,11.786407954131489,11.786407954131489,3.5463938980863547,0.0,0,7.5,new,0.0
s33-113-57,u057,2025-06-12,13.983008410299346,13.983008410299346,3.3088706622129576,0.0,0,8.0,new,0.0
s33-113-4,u004,2025-06-12,21.68738093059264,21.68738093059264,3.7197888170338222,0.0,0,9.25,variable,0.0
s33-113-18,u018,2025-06-12,22.006682063014882,22.006682063014882,4.0584367908280266,0.0,0,9.75,variable,0.0
s33-113-11,u011,2025-06-12,19.480887821475633,19.480887821475633,3.4319853680185597,0.0,0,10.0,variable,0.0
s33-113-25,u025,2025-06-12,8.533774685480132,8.533774685480132,2.485752614830478,0.0,0,10.0,variable,0.0
s33-113-44,u044,2025-06-12,21.341364407732872,21.341364407732872,4.930454658197304,0.0,0,10.5,variable,0.0
s33-113-31,u031,2025-06-12,23.77699514346793,23.77699514346793,4.58634719262625,0.0,0,10.5,variable,0.0
s33-113-46,u046,2025-06-12,15.26355063716419,15.26355063716419,4.366897909195329,0.0,0,10.25,variable,0.0
s33-114-45,u045,2025-06-13,12.564354996736139,0.42035499673613685,0.05482891261775698,0.9665438459160591,0,3.5,variable,0.0
s33-114-14,u014,2025-06-13,11.392824089269723,11.099633444210324,1.4477782753317812,0.025734676737047102,0,5.75,regular,0.0
s33-114-43,u043,2025-06-13,20.80887091228307,8.664870912283064,1.1302005537760518,0.5835972576883852,0,3.5,variable,0.0
s33-114-30,u030,2025-06-13,17.67400702810322,17.67400702810322,2.305305264535202,0.0,0,5.75,regular,0.0
s33-114-55,u055,2025-06-13,28.418240354831994,25.382240354831993,3.3107270028041715,0.10683279337820739,0,7.25,new,0.0
s33-114-6,u006,2025-06-13,20.746366819444514,19.228366819444513,2.508047846014501,0.0731694379652661,0,5.25,variable,0.0
s33-114-2,u002,2025-06-13,15.888511732943469,15.888511732943469,2.3694145738621906,0.0,0,7.0,variable,0.0
s33-114-28,u028,2025-06-13,20.261234607604436,20.261234607604436,2.6427697314266654,0.0,0,6.0,regular,0.0
s33-114-37,u037,2025-06-13,30.57665804581914,26.25035804581914,3.720959745106843,0.14149028299682187,0,5.75,variable,0.0
s33-114-49,u049,2025-06-13,31.554190407411006,27.000190204913963,3.8187639397713857,0.14432315149582997,0,6.25,variable,0.0
s33-114-41,u041,2025-06-13,17.339142391820882,17.339142391820882,2.2616272684983754,0.0,0,7.5,regular,0.0
s33-114-54,u054,2025-06-13,19.96238778555554,18.604178903528133,3.0206320308949732,0.0680383978418746,0,6.0,new,0.0
s33-114-8,u008,2025-06-13,18.284081364434787,16.766081364434786,2.483880177969754,0.08302303898913577,0,6.25,regular,0.0
s33-114-4,u004,2025-06-13,25.484873700256983,22.676573700256984,3.473777853093677,0.11019477800950139,0,7.25,variable,0.0
s33-114-18,u018,2025-06-13,24.090393840387474,21.054393840387473,3.9342252835288,0.12602533690877882,0,6.25,variable,0.0
s33-114-44,u044,2025-06-13,23.109986977084795,18.555986977084796,3.1607540242486465,0.19705766188945129,0,7.25,variable,0.0
s33-114-17,u017,2025-06-13,20.59344034777143,20.59344034777143,3.5771009149267075,0.0,0,7.25,regular,0.0
s33-114-29,u029,2025-06-13,27.509178653614775,26.630310609524848,4.192566331746515,0.03194817464949795,0,6.75,regular,0.0
s33-114-20,u020,2025-06-13,20.451453058652127,20.451453058652127,3.2170308337372338,0.0,0,7.75,variable,0.0
s33-114-32,u032,2025-06-13,16.8499097779609,16.8499097779609,2.867169626189526,0.0,0,5.75,regular,0.0
s33-114-1,u001,2025-06-13,26.363799496811886,26.363799496811886,4.923756456105897,0.0,0,7.75,regular,0.0
s33-114-15,u015,2025-06-13,12.370694410636819,12.370694410636819,3.432986129083043,0.0,0,8.25,variable,0.0
s33-114-47,u047,2025-06-13,12.474756957899135,12.474756957899135,3.7061422118998872,0.0,0,6.75,regular,0.0
s33-114-42,u042,2025-06-13,23.171149450777808,23.17114937935932,5.101323818117164,3.082215926930587e-09,0,6.5,variable,0.0
s33-114-5,u005,2025-06-13,12.491530430543243,12.491530430543243,3.6198857494050927,0.0,0,8.25,variable,0.0
s33-114-10,u010,2025-06-13,16.01108330679068,16.01108330679068,4.167402170450957,0.0,0,7.5,regular,0.0
s33-114-27,u027,2025-06-13,21.36837922842965,21.36837922842965,4.803644326481228,0.0,0,7.5,regular,0.0
s33-114-25,u025,2025-06-13,13.019277052193601,13.019277052193601,3.435616572025252,0.0,0,8.25,variable,0.0
s33-114-58,u058,2025-06-13,16.220896663690418,16.220896663690418,2.1157691300465755,0.0,0,10.25,new,0.0
s33-115-23,u023,2025-06-16,17.193862819479733,4.247286895930782,0.5539939429474933,0.7529765742274719,0,2.0,variable,0.29370147200188823
s33-115-50,u050,2025-06-16,17.477658827975144,5.643505187994167,0.7361093723470653,0.6771017649708871,0,3.0,variable,0.0
s33-115-39,u039,2025-06-16,19.395494723923964,13.323494723923965,1.7378471379031253,0.3130623934284237,0,4.5,variable,0.0
s33-115-49,u049,2025-06-16,24.898166727564718,12.981866727564716,1.6932869644649626,0.4786015022868124,0,4.75,variable,0.0
s33-115-36,u036,2025-06-16,18.196863418351285,16.678863418351288,2.175503924132776,0.08342097014747696,0,5.75,regular,0.0
s33-115-6,u006,2025-06-16,22.15759201735635,19.12159201735635,2.494120697916045,0.13701849901477836,0,5.25,variable,0.0
s33-115-32,u032,2025-06-16,32.282972866117625,24.2879995448968,3.464999894741024,0.24765294554430262,0,6.0,regular,0.0
s33-115-8,u008,2025-06-16,20.0152880255822,20.0152880255822,2.907689742467243,0.0,0,6.25,regular,0.0
s33-115-45,u045,2025-06-16,22.956585908926726,21.438585908926726,2.796337292468703,0.066124815162943,0,7.25,variable,0.0
s33-115-44,u044,2025-06-16,16.402632508077104,11.280208426705624,2.289073148935007,0.3122928029295944,0,6.0,variable,0.0
s33-115-7,u007,2025-06-16,22.712778869443085,16.698000000000004,2.772,0.26481915330647354,0,5.0,variable,0.0
s33-115-0,u000,2025-06-16,27.356215594905365,27.356215594905365,3.8652020341180897,0.0,0,6.75,regular,0.0
s33-115-9,u009,2025-06-16,23.26444389765265,23.26444389765265,3.0344926823025187,0.0,0,6.5,regular,0.0
s33-115-24,u024,2025-06-16,14.60051849896915,14.60051849896915,2.4984154912314174,0.0,0,6.75,regular,0.0
s33-115-38,u038,2025-06-16,21.855324185414815,21.855324185414815,3.74169445896715,0.0,0,7.25,regular,0.0
s33-115-48,u048,2025-06-16,13.994915440471726,13.994915440471726,3.9044237531050072,0.0,0,5.75,variable,0.0
s33-115-33,u033,2025-06-16,14.640455691863117,14.640455691863117,3.691624655460406,0.0,0,7.0,regular,0.0
s33-115-55,u055,2025-06-16,23.243354762135883,23.243354762135883,5.660191925495985,0.0,0,6.5,new,0.0
s33-115-42,u042,2025-06-16,20.42835895239856,20.42835895239856,3.5063724309902553,0.0,0,8.75,variable,0.0
s33-115-57,u057,2025-06-16,16.61820381100663,16.61820381100663,3.311041801435647,0.0,0,8.0,new,0.0
s33-115-14,u014,2025-06-16,21.54100638402392,21.54100638402392,3.1066964848726846,0.0,0,8.0,regular,0.0
s33-115-2,u002,2025-06-16,10.522552102314956,10.522552102314956,2.812956795954124,0.0,0,7.5,variable,0.0
s33-115-41,u041,2025-06-16,12.176324076451053,12.176324076451053,2.4792161838849194,0.0,0,8.25,regular,0.0
s33-115-20,u020,2025-06-16,26.093661192651506,26.093661192651506,5.555157965174823,0.0,0,7.25,variable,0.0
s33-115-27,u027,2025-06-16,18.7793863154314,18.7793863154314,4.186935171578008,0.0,0,7.75,regular,0.0
s33-115-58,u058,2025-06-16,17.02513273860592,17.02513273860592,3.1116694876442494,0.0,0,8.75,new,0.0
s33-115-18,u018,2025-06-16,27.537488062117763,27.537488062117763,5.850659328925514,0.0,0,9.5,variable,0.0
s33-115-31,u031,2025-06-16,25.392954255918173,25.392954188402662,5.688124446147311,2.6588284907091975e-09,0,8.25,variable,0.0
s33-115-56,u056,2025-06-16,17.667234481931906,17.667234481931906,3.4924218889476397,0.0,0,10.5,new,0.0
s33-116-59,u059,2025-06-17,29.582855977478708,21.992855870263178,2.8686333743821524,0.25656752387239967,0,3.75,new,0.23029743925553725
s33-116-13,u013,2025-06-17,27.024900992557647,20.95290087308219,2.732987070402023,0.224681678617347,0,4.5,variable,0.0
s33-116-11,u011,2025-06-17,16.498358804930948,5.398684269712007,0.7041762090928705,0.6727744660215249,0,4.5,variable,0.0
s33-116-43,u043,2025-06-17,22.08445123049446,15.713696010972656,2.049612523170346,0.2884724258271354,0,4.5,variable,0.0
s33-116-14,u014,2025-06-17,20.338661883611294,18.820661883611294,2.4548689413406035,0.07463617855918003,0,5.5,regular,0.0
s33-116-29,u029,2025-06-17,26.486380120998113,24.968379976994346,3.256745214390566,0.0573124804925802,0,6.5,regular,0.0
s33-116-55,u055,2025-06-17,21.300621540765533,10.674621540765528,1.3923419400998511,0.49885868258180943,0,5.25,new,0.0
s33-116-30,u030,2025-06-17,21.006855945456334,21.006855945456334,2.740024688537782,0.0,0,4.75,regular,0.0
s33-116-23,u023,2025-06-17,16.347330212807428,11.793330212807428,1.8352604625400988,0.27857759895448475,0,5.25,variable,0.0
