lead_minutes,candidate,comparator,metric,mean,low,high,n
30,hazard_cal,empirical,brier,-0.0025562883568009077,-0.0038160414278566117,-0.0012965352857452037,5
30,hazard_cal,empirical,logloss,-0.007067427786884961,-0.011508922087150996,-0.002625933486618927,5
30,hazard_cal,hazard,brier,0.0002039925482728383,-0.0002612943485284739,0.0006692794450741504,5
30,hazard_cal,hazard,logloss,-0.00011033410946645895,-0.0019081194804566929,0.0016874512615237748,5
60,hazard_cal,empirical,brier,-0.00916769799260421,-0.011681943470675513,-0.006653452514532907,5
60,hazard_cal,empirical,logloss,-0.017870316833793542,-0.02350215689039262,-0.012238476777194463,5
60,hazard_cal,hazard,brier,2.6550795946628237e-06,-0.0006251938802192391,0.0006305040394085648,5
60,hazard_cal,hazard,logloss,-0.0005211693903933723,-0.004121931210671272,0.003079592429884527,5
120,hazard_cal,empirical,brier,-0.011864005260137334,-0.015533254456826873,-0.008194756063447795,5
120,hazard_cal,empirical,logloss,-0.021757187065850437,-0.034600944135658646,-0.00891342999604223,5
120,hazard_cal,hazard,brier,-0.0004218709181789737,-0.0023294902720013143,0.0014857484356433667,5
120,hazard_cal,hazard,logloss,-0.003906678708305944,-0.01816433244255286,0.010350975025940972,5
240,hazard_cal,empirical,brier,-0.011174273550498836,-0.01620163951313246,-0.006146907587865211,5
240,hazard_cal,empirical,logloss,-0.028800483452386238,-0.04093822481388265,-0.016662742090889825,5
240,hazard_cal,hazard,brier,-0.0011493072734193143,-0.005053928611254783,0.002755314064416154,5
240,hazard_cal,hazard,logloss,-0.005283396393254347,-0.022189150103107534,0.011622357316598839,5
