seed,model,lead_minutes,brier,logloss
11,empirical,30,0.060710958583847674,0.20772085123914924
11,empirical,60,0.09716359732166181,0.31820168744756777
11,empirical,120,0.14314019926551874,0.45080214434852617
11,empirical,240,0.14600929556889314,0.4419458568037894
11,hazard,30,0.05736411185391003,0.19847369707304202
11,hazard,60,0.08759745336855405,0.2985630496640932
11,hazard,120,0.12500462245385674,0.40831081573708294
11,hazard,240,0.12529261665964112,0.3933238848036374
11,hazard_cal,30,0.05769344624502461,0.2002066919090262
11,hazard_cal,60,0.0878563480600875,0.3019783837210693
11,hazard_cal,120,0.12674655981254837,0.4191395075096051
11,hazard_cal,240,0.1285581459604851,0.4062912631705294
22,empirical,30,0.05835748314334816,0.21095181051184328
22,empirical,60,0.09199250215502276,0.29237547670574004
22,empirical,120,0.13470045848472775,0.43035738803016016
22,empirical,240,0.1398751630199556,0.4333470739619587
22,hazard,30,0.05583321589746845,0.20544099911934752
22,hazard,60,0.08229905316642991,0.27427400709029204
22,hazard,120,0.12481573228501629,0.420702526731541
22,hazard,240,0.1347207127628235,0.4246390754734049
22,hazard_cal,30,0.05556255505732169,0.20323036772751207
22,hazard_cal,60,0.0814619461248274,0.2714279218520635
22,hazard_cal,120,0.12252402142289914,0.4086814396653149
22,hazard_cal,240,0.13066637573653878,0.4082488804641115
33,empirical,30,0.057339587669260624,0.19814775422271652
33,empirical,60,0.0915045181090907,0.2960523368694298
33,empirical,120,0.1389836032181794,0.4494007117280449
33,empirical,240,0.1431032076443294,0.4421465386417217
33,hazard,30,0.053363608373234596,0.18809320183137113
33,hazard,60,0.07974128842304332,0.2720101045269069
33,hazard,120,0.12788042688094586,0.43178080190332097
33,hazard,240,0.13297643875944218,0.41454461203783044
33,hazard_cal,30,0.0535733648317457,0.1884666784998424
33,hazard_cal,60,0.07988508435618813,0.2721852509110582
33,hazard_cal,120,0.1276476099535572,0.42984418094203247
33,hazard_cal,240,0.1319720064752379,0.4106776102903085
44,empirical,30,0.05652720437530454,0.2084008665530708
44,empirical,60,0.09580226517638299,0.31747380711484874
44,empirical,120,0.13992379088921783,0.4525260113372422
44,empirical,240,0.14314428222663475,0.4405986830420988
44,hazard,30,0.05365915863169875,0.19952129578628694
44,hazard,60,0.08871850586605365,0.3053696669623482
44,hazard,120,0.1300873504155755,0.440708828930962
44,hazard,240,0.13577397446106165,0.42317581297415147
44,hazard_cal,30,0.05439661111082707,0.1988996963857043
44,hazard_cal,60,0.0892012939536608,0.3015048597580415
44,hazard_cal,120,0.12867878018778892,0.42241578342707436
44,hazard_cal,240,0.13153504880547767,0.40251226010788327
55,empirical,30,0.050781798259876054,0.17545355958185385
55,empirical,60,0.09015679947502633,0.29384192063616765
55,empirical,120,0.13225604231502852,0.43020190744065695
55,empirical,240,0.13615660977646518,0.4218429860577711
55,hazard,30,0.0496955327499565,0.17436017991149358
55,hazard,60,0.08241161605210931,0.28098266331311283
55,hazard,120,0.12400529042748605,0.42253264779400096
55,hazard,240,0.12939998420791202,0.40661231792265606
55,hazard_cal,30,0.049709613002713454,0.17453426865212393
55,hazard_cal,60,0.0823765197793997,0.2814972283625538
55,hazard_cal,120,0.12408709649519195,0.42442131601135136
55,hazard_cal,240,0.12968561350604443,0.40814870721257585
