seed,policy,sessions,users,repeated_users,tail_users,tail,mean_shortfall,delivered,cost,cost_per_kwh,repeat_failure,new_shortfall,new_sessions,excess_kwh,fallbacks,decisions,max_violation,latency_p50,latency_p95
11,point,773,60,60,6,0.19280962372835986,0.0626796842418052,13874.050922342096,2049.3859161448354,0.1477135933561123,0.05,0.056085201618866876,79,0.0,2,1121,1.4210854715202004e-14,0.019906708010239527,0.0361533329996746
11,point_history,773,60,60,6,0.18715901643659497,0.06310615105835385,13859.233897567647,2044.7687531463785,0.1475383681564999,0.05,0.05549410218149158,79,0.0,2,1122,2.785738217880862e-08,0.012414395489031449,0.020654741700855083
11,stochastic,773,60,60,6,0.15495567053708845,0.03380309352335188,14160.31121846432,2146.2006547168967,0.15156451165553206,0.0,0.014101827214306568,79,0.0,0,1211,4.263256414560601e-14,0.008814708999125287,0.020892749991617166
11,history,773,60,60,6,0.13681556986819107,0.032260858548296543,14188.562787859832,2154.80799177845,0.15186936295071193,0.0,0.01425645980326047,79,0.0,0,1222,4.263256414560601e-14,0.00871437499881722,0.021054409805219627
11,pf_mpc,773,60,60,6,0.15225314670050114,0.033304603068512455,14173.749065325886,2150.582561311576,0.15172997288153478,0.0,0.013986750686924605,79,0.0,0,1205,2.842170943040401e-14,0.013017165998462588,0.04932780041708611
22,point,748,60,60,6,0.1673597790136682,0.07347068602936391,13286.897603026271,2106.8037811091103,0.15856250601564487,0.05,0.08638930975881705,71,0.0,5,1145,6.308303568403062e-08,0.020617166010197252,0.033806100004585456
22,point_history,748,60,60,6,0.16214395450331118,0.07335984280498131,13281.603888412756,2105.0824075170385,0.1584960992063294,0.05,0.08007769107004885,71,0.0,8,1155,1.1102230246251565e-16,0.01247725001303479,0.0205366500915261
22,stochastic,748,60,60,6,0.22436880283492,0.05609055074191244,13405.144459142182,2149.081854018131,0.1603176944917201,0.05,0.038650077285753,71,0.0,0,1221,1.1102230246251565e-16,0.008832583000184968,0.020100958994589746
22,history,748,60,60,6,0.1891317548083495,0.05349087508723082,13448.331768417047,2162.0201767949147,0.16076493456774663,0.0,0.04004445144055,71,0.0,0,1220,1.1102230246251565e-16,0.008756645998801105,0.020640892001392786
22,pf_mpc,748,60,60,6,0.22393629599255258,0.056026426440228566,13420.845287240889,2153.9195390843875,0.16049060196916992,0.016666666666666666,0.03681884387408842,71,0.0,0,1225,1.1102230246251565e-16,0.01276179199339822,0.051153883413644505
