sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s22-110-11,u011,2025-06-09,16.32259228127964,8.732592281279636,1.139033775819083,0.4649996685088412,0,2.75,variable,0.0
s22-110-15,u015,2025-06-09,25.69521842075794,16.35951842075794,2.1338502287945134,0.3633244071767895,0,4.0,variable,0.0547657699465639
s22-110-35,u035,2025-06-09,19.397399155029834,17.879399155029837,2.332095541960413,0.07825791426302497,0,5.5,regular,0.0
s22-110-4,u004,2025-06-09,19.617246155040807,18.698664194179944,2.4389561992408617,0.04682522478440865,0,5.25,regular,0.0
s22-110-21,u021,2025-06-09,8.91325162535544,8.91325162535544,1.1625980380898397,0.0,0,7.0,regular,0.0
s22-110-31,u031,2025-06-09,11.797703303994235,5.725703303994234,0.7468308657383784,0.5146764453674861,0,5.5,variable,0.0
s22-110-24,u024,2025-06-09,9.33359726945909,9.33359726945909,1.2174257307990115,0.0,0,6.0,regular,0.0
s22-110-43,u043,2025-06-09,27.32227000444955,25.804270004449553,3.365774348406462,0.05555907323047404,0,6.0,regular,0.0
s22-110-23,u023,2025-06-09,21.487731635565787,19.521061672122418,2.755442181777047,0.0915252478390135,0,5.75,regular,0.0
s22-110-38,u038,2025-06-09,15.42394627275764,14.440611291035955,2.0151502612462977,0.06375378676328047,0,7.75,regular,0.0
s22-110-50,u050,2025-06-09,20.292717442307833,19.30938246058615,2.9202234766961235,0.0484575308613695,0,6.75,variable,0.0
s22-110-32,u032,2025-06-09,17.099732606908105,17.099732606908105,2.868949905248882,0.0,0,6.0,regular,0.0
s22-110-29,u029,2025-06-09,26.66672631314946,26.66672631314946,4.072268649541233,0.0,0,7.5,regular,0.0
s22-110-40,u040,2025-06-09,11.926380090376677,11.926380090376677,2.4466147943969574,0.0,0,7.0,regular,0.0
s22-110-33,u033,2025-06-09,24.402486383498243,24.402486383498243,4.073933006543248,0.0,0,6.75,variable,0.0
s22-110-3,u003,2025-06-09,11.3212205621122,11.3212205621122,2.0882470547621126,0.0,0,7.0,regular,0.0
s22-110-39,u039,2025-06-09,18.60844487133052,18.60844487133052,3.065738461477892,0.0,0,7.75,variable,0.0
s22-110-54,u054,2025-06-09,24.326907319761425,24.326907319761425,4.064074867794967,0.0,0,7.0,new,0.0
s22-110-57,u057,2025-06-09,29.421512240003302,29.421512240003302,4.431588619174153,0.0,0,8.25,new,0.0
s22-110-2,u002,2025-06-09,28.021196721460555,28.021196630667333,4.545938673192715,3.2401621385957924e-09,0,6.75,regular,0.0
s22-110-28,u028,2025-06-09,16.292437638216477,16.292437638216477,2.719100561506497,0.0,0,7.0,regular,0.0
s22-110-41,u041,2025-06-09,24.86448746560077,24.86448746560077,3.540194017252273,0.0,0,8.75,variable,0.0
