sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s11-110-56,u056,2025-06-09,13.892155357375604,13.892155357375604,1.8120202640055132,0.0,0,5.5,new,0.0
s11-110-3,u003,2025-06-09,14.798623058796355,14.798623058796355,1.9302551815821327,0.0,0,6.25,regular,0.0
s11-110-10,u010,2025-06-09,18.177178344536685,14.306278344536695,1.8660363058091336,0.2129538439151324,0,6.0,variable,0.0
s11-110-12,u012,2025-06-09,24.39663031130889,24.39663031130889,3.1821691710402886,0.0,0,5.25,variable,0.0
s11-110-9,u009,2025-06-09,23.849852401248004,23.849852401248004,3.11085031320626,0.0,0,5.75,regular,0.0
s11-110-21,u021,2025-06-09,19.557675511784073,19.557675511784073,2.551001153710966,0.0,0,5.25,variable,0.0
s11-110-43,u043,2025-06-09,13.068838531742955,13.068838531742955,1.7046311128360372,0.0,0,6.5,regular,0.0
s11-110-57,u057,2025-06-09,21.18267810347074,21.18267810347074,2.7629580134961826,0.0,0,6.5,new,0.0
s11-110-23,u023,2025-06-09,14.17867792350585,12.660677923505853,1.9483927726311976,0.10706216815062919,0,5.75,variable,0.0
s11-110-28,u028,2025-06-09,15.71830460572815,15.71830460572815,2.05021364422541,0.0,0,5.5,variable,0.0
s11-110-32,u032,2025-06-09,22.22604155823217,22.22604155823217,2.899048898899847,0.0,0,7.0,regular,0.0
s11-110-26,u026,2025-06-09,20.731504048806997,20.731504048806997,3.595109223757434,0.0,0,7.25,regular,0.0
s11-110-33,u033,2025-06-09,12.922628005811523,12.922628005811523,1.6855601746710682,0.0,0,8.25,regular,0.0
s11-110-44,u044,2025-06-09,29.776210824477772,29.776210824477772,4.774853585801447,0.0,0,6.0,regular,0.0
s11-110-41,u041,2025-06-09,21.42479368855309,21.42479368855309,2.7945383072025765,0.0,0,6.5,regular,0.0
s11-110-45,u045,2025-06-09,12.001868581363656,12.001868581363656,2.4564611193083024,0.0,0,6.25,regular,0.0
s11-110-53,u053,2025-06-09,24.790985447699953,24.790985447699953,4.71860679752608,0.0,0,7.75,regular,0.0
s11-110-14,u014,2025-06-09,21.471011976644736,21.471011976644736,2.800566779562356,0.0,0,7.25,variable,0.0
s11-110-18,u018,2025-06-09,22.304108336008596,22.304108336008596,2.909231522088077,0.0,0,7.75,regular,0.0
s11-110-46,u046,2025-06-09,12.705147973111359,12.705147973111359,1.65719321388409,0.0,0,6.5,regular,0.0
s11-110-7,u007,2025-06-09,16.23975992764156,16.239759927641558,3.9002295557793336,2.220446049250313e-16,0,7.5,regular,0.0
s11-110-11,u011,2025-06-09,11.294378302105773,11.294378302105773,2.6611797785355353,0.0,0,7.0,regular,0.0
s11-110-59,u059,2025-06-09,24.177321568387978,24.177321568387978,5.5295636828332135,0.0,0,7.5,new,0.0
s11-110-5,u005,2025-06-09,17.042487282195534,17.042487282195534,3.576281428454605,0.0,0,9.0,regular,0.0
s11-110-51,u051,2025-06-09,21.109008187073634,21.109008187073634,2.753348893966125,0.0,0,9.75,variable,0.0
s11-110-30,u030,2025-06-09,25.588792117504752,25.588792117504752,5.713668537065836,0.0,0,8.0,variable,0.0
s11-110-35,u035,2025-06-09,17.30312328305089,17.30312328305089,2.2569291238762026,0.0,0,10.5,variable,0.0
s11-110-24,u024,2025-06-09,15.04718534635844,15.04718534635844,4.015690873812534,0.0,0,8.75,regular,0.0
s11-110-54,u054,2025-06-09,14.731542952778636,14.731542952778636,1.9215056025363433,0.0,0,10.5,new,0.0
s11-111-48,u048,2025-06-10,24.632900302451127,0.0,0.0,1.0,0,1.25,variable,0.6918755036229027
s11-111-28,u028,2025-06-10,17.418820936303316,13.662000000000003,1.7819999999999998,0.21567596050508564,0,2.25,variable,0.21567596050508575
s11-111-12,u012,2025-06-10,20.653544837846347,19.734000000000005,2.574,0.04452237352308319,0,3.25,variable,0.044522373523083414
s11-111-21,u021,2025-06-10,27.41989348428671,25.806000000000008,3.3659999999999997,0.05885848846245745,0,4.25,variable,0.05885848846245778
s11-111-9,u009,2025-06-10,25.3230646605133,25.3230646605133,3.3030084339799943,0.0,0,5.0,regular,0.0
s11-111-22,u022,2025-06-10,13.907300440003517,13.907300440003517,1.8139957095656756,0.0,0,5.0,variable,0.0
s11-111-16,u016,2025-06-10,12.865200222799674,12.865200222799674,1.678069594278218,0.0,0,4.25,variable,0.0
s11-111-35,u035,2025-06-10,22.16679388964331,22.16679388964331,2.891320942127387,0.0,0,5.75,variable,0.0
s11-111-27,u027,2025-06-10,12.646143258895936,12.646143258895936,1.6494969468125131,0.0,0,5.0,variable,0.0
s11-111-32,u032,2025-06-10,21.466685536063064,21.466685536063064,2.800002461225616,0.0,0,6.25,regular,0.0
s11-111-41,u041,2025-06-10,29.646567709165332,29.646567709165332,3.8669436142389544,0.0,0,6.0,regular,0.0
s11-111-57,u057,2025-06-10,24.967737204722447,24.967737204722447,3.2566613745290134,0.0,0,6.75,new,0.0
s11-111-45,u045,2025-06-10,20.329222079821562,18.811222079821565,3.047637662585421,0.07467083560992416,0,5.5,regular,0.0
s11-111-56,u056,2025-06-10,18.058883435970838,18.058883435970838,2.3555065351266307,0.0,0,5.25,new,0.0
s11-111-14,u014,2025-06-10,18.503386811485502,18.503386811485502,2.413485236280717,0.0,0,6.0,variable,0.0
s11-111-52,u052,2025-06-10,13.5294502421165,13.5294502421165,1.7647109011456301,0.0,0,7.0,regular,0.0
s11-111-55,u055,2025-06-10,17.93975932331649,17.93975932331649,3.0295021773796083,0.0,0,6.25,new,0.0
s11-111-33,u033,2025-06-10,13.16538373362697,13.16538373362697,1.717223965255691,0.0,0,7.25,regular,0.0
s11-111-40,u040,2025-06-10,25.6518738711605,25.6518738711605,3.3458965918904986,0.0,0,6.75,regular,0.0
s11-111-6,u006,2025-06-10,14.556736237569684,14.556736237569684,3.385991976643468,0.0,0,5.5,regular,0.0
s11-111-1,u001,2025-06-10,8.905435477186362,8.905435477186362,2.0525785405025685,0.0,0,6.75,regular,0.0
s11-111-11,u011,2025-06-10,12.58043421518828,12.58043421518828,2.5319262019810793,0.0,0,7.0,regular,0.0
s11-111-59,u059,2025-06-10,19.544353566549916,19.544353566549916,3.440263508680423,0.0,0,7.75,new,0.0
s11-111-42,u042,2025-06-10,27.272777081380287,25.754777081380286,6.329318749745254,0.055659898347366066,0,6.75,regular,0.0
s11-111-23,u023,2025-06-10,9.97663980390219,9.97663980390219,2.7863008439872416,0.0,0,7.25,variable,0.0
s11-111-10,u010,2025-06-10,26.731008637369275,26.731008637369275,3.813353300526426,0.0,0,10.0,variable,0.0
s11-111-0,u000,2025-06-10,25.924302539130405,25.924302539130405,5.4604307659735305,0.0,0,9.0,variable,0.0
s11-111-17,u017,2025-06-10,13.789333102390321,13.789333102390321,3.283608665529172,0.0,0,9.0,variable,0.0
s11-111-50,u050,2025-06-10,18.482641312190324,18.482641312190324,5.432948253975105,0.0,0,9.5,variable,0.0
s11-112-36,u036,2025-06-11,8.373658956178316,8.373658956178316,1.092216385588476,0.0,0,4.25,variable,0.0
s11-112-13,u013,2025-06-11,6.0,6.0,0.7826086956521738,0.0,0,4.25,variable,0.0
s11-112-14,u014,2025-06-11,16.222029549910417,15.180000000000003,1.9799999999999998,0.06423546121059609,0,2.5,variable,0.0642354612105962
s11-112-19,u019,2025-06-11,22.76081873634076,21.252000000000006,2.772,0.06629017847814578,0,3.5,variable,0.06629017847814611
s11-112-56,u056,2025-06-11,14.545797026862875,14.545797026862875,1.8972778730690703,0.0,0,5.0,new,0.0
s11-112-35,u035,2025-06-11,18.774196242151177,18.774196242151177,2.4488082054979787,0.0,0,4.25,variable,0.0
s11-112-8,u008,2025-06-11,15.056994325108473,15.056994325108473,1.9639557815358872,0.0,0,5.25,variable,0.0
s11-112-43,u043,2025-06-11,17.208572303809635,17.208572303809635,2.2445963874534303,0.0,0,4.75,regular,0.0
s11-112-3,u003,2025-06-11,19.336680410986737,19.336680410986737,2.522175705780878,0.0,0,5.0,regular,0.0
s11-112-6,u006,2025-06-11,16.349595652763046,16.349595652763046,2.132555954708223,0.0,0,6.0,regular,0.0
s11-112-9,u009,2025-06-11,21.944328259399906,21.944328259399906,2.8623036860086826,0.0,0,4.0,regular,0.0
s11-112-26,u026,2025-06-11,32.21461121460463,23.10661121460463,3.0139058106006025,0.2827288505617864,0,6.0,regular,0.0
s11-112-31,u031,2025-06-11,24.77420035559918,15.666200355599177,2.0434174376868484,0.3676405239833107,0,5.5,variable,0.0
s11-112-28,u028,2025-06-11,10.65797035688185,10.65797035688185,1.3901700465498061,0.0,0,5.75,variable,0.0
s11-112-32,u032,2025-06-11,23.323668343424117,23.323668343424117,3.04221761001184,0.0,0,5.75,regular,0.0
s11-112-54,u054,2025-06-11,13.034297709152586,13.034297709152586,1.7001257881503369,0.0,0,7.0,new,0.0
s11-112-12,u012,2025-06-11,20.059752261174232,20.059752261174232,2.6164894253705513,0.0,0,5.75,variable,0.0
s11-112-29,u029,2025-06-11,23.14253486663974,23.14253486663974,3.018591504344313,0.0,0,5.25,regular,0.0
s11-112-45,u045,2025-06-11,15.36874636005654,15.36874636005654,2.895619090442157,0.0,0,5.5,regular,0.0
s11-112-20,u020,2025-06-11,18.278968997459405,18.278968997459405,2.3842133474947045,0.0,0,7.5,variable,0.0
s11-112-42,u042,2025-06-11,22.78212830383335,22.78212830383335,3.5309014140835226,0.0,0,7.0,regular,0.0
s11-112-48,u048,2025-06-11,23.173652341101285,23.173652341101285,3.022650305361036,0.0,0,7.25,variable,0.0
s11-112-52,u052,2025-06-11,15.339479399215104,15.339479399215104,3.188801660767187,0.0,0,6.5,regular,0.0
s11-112-11,u011,2025-06-11,13.013374994499054,13.013374994499054,3.18239673841292,0.0,0,6.25,regular,0.0
s11-112-38,u038,2025-06-11,13.156156086128664,13.156156086128664,3.6960508976506508,0.0,0,6.5,regular,0.0
s11-112-33,u033,2025-06-11,7.794640932217006,7.794640932217006,1.947730738766415,0.0,0,7.0,regular,0.0
s11-112-39,u039,2025-06-11,26.16090668033681,26.16090668033681,6.085292175696106,0.0,0,6.5,variable,0.0
s11-112-5,u005,2025-06-11,12.50709666800038,12.50709666800038,1.95806043495657,0.0,0,8.0,regular,0.0
s11-112-59,u059,2025-06-11,20.737174828794988,20.737174828794988,4.975818203740931,0.0,0,7.25,new,0.0
s11-112-0,u000,2025-06-11,29.950492612433504,29.950492612433504,6.876585992926108,0.0,0,9.0,variable,0.0
s11-113-19,u019,2025-06-12,21.650227990560467,6.072,0.7919999999999999,0.7195410596762584,0,1.0,variable,0.7195410596762584
s11-113-29,u029,2025-06-12,22.53504700183633,22.53504700183633,2.939353956761259,0.0,0,5.75,regular,0.0
