sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s11-110-56,u056,2025-06-09,17.365194196719504,17.365194196719504,2.2650253300068917,0.0,0,5.5,new,0.0
s11-110-3,u003,2025-06-09,18.498278823495443,18.498278823495443,2.412818976977666,0.0,0,6.25,regular,0.0
s11-110-10,u010,2025-06-09,22.721472930670856,14.496900000000002,1.8908999999999996,0.36197358136799374,0,6.0,variable,0.0
s11-110-12,u012,2025-06-09,30.49578788913611,26.049778036017045,3.397797135132657,0.14579094887733401,0,5.25,variable,0.0
s11-110-9,u009,2025-06-09,29.812315501560004,29.812315501560004,3.8885628915078247,0.0,0,5.75,regular,0.0
s11-110-21,u021,2025-06-09,24.44709438973009,14.2113691714352,1.8536568484480689,0.4186888247379936,0,5.25,variable,0.0
s11-110-43,u043,2025-06-09,16.336048164678694,16.336048164678694,2.1307888910450465,0.0,0,6.5,regular,0.0
s11-110-57,u057,2025-06-09,26.478347629338423,26.478347629338423,3.4536975168702275,0.0,0,6.5,new,0.0
s11-110-23,u023,2025-06-09,17.723347404382313,13.342508359508734,2.0373271773272257,0.24717898627831236,0,5.75,variable,0.0
s11-110-28,u028,2025-06-09,19.647880757160188,19.647880757160188,2.5627670552817627,0.0,0,5.5,variable,0.0
s11-110-32,u032,2025-06-09,27.78255194779021,27.78255194779021,3.6238111236248085,0.0,0,7.0,regular,0.0
s11-110-26,u026,2025-06-09,25.914380061008746,21.360380061008744,4.2711365296967925,0.17573254653511983,0,7.25,regular,0.0
s11-110-33,u033,2025-06-09,16.153285007264405,16.153285007264405,2.106950218338835,0.0,0,8.25,regular,0.0
s11-110-44,u044,2025-06-09,37.220263530597215,9.10577976896264,2.672710404647301,0.7553542370414127,0,6.0,regular,0.021178343617830997
s11-110-41,u041,2025-06-09,26.780992110691365,26.780992110691365,3.49317288400322,0.0,0,6.5,regular,0.0
s11-110-45,u045,2025-06-09,15.002335726704569,13.484335726704568,3.540826399135378,0.10118424408393412,0,6.25,regular,0.0
s11-110-53,u053,2025-06-09,30.98873180962494,23.39873180962494,5.1310084969076,0.24492773846403693,0,7.75,regular,0.0
s11-110-14,u014,2025-06-09,26.83876497080592,26.83876497080592,3.5007084744529444,0.0,0,7.25,variable,0.0
s11-110-18,u018,2025-06-09,27.880135420010745,27.880135420010745,3.636539402610096,0.0,0,7.75,regular,0.0
s11-110-46,u046,2025-06-09,15.881434966389198,15.881434966389198,2.071491517355112,0.0,0,6.5,regular,0.0
s11-110-7,u007,2025-06-09,20.29969990955195,20.29969990955195,5.617786944724167,0.0,0,7.5,regular,0.0
s11-110-11,u011,2025-06-09,14.117972877632216,14.117972877632216,4.217474723169419,0.0,0,7.0,regular,0.0
s11-110-59,u059,2025-06-09,30.221651960484973,24.223073544451832,6.4265313318850215,0.198486119285482,0,7.5,new,0.0
s11-110-5,u005,2025-06-09,21.30310910274442,21.30310910274442,5.451666404705793,0.0,0,9.0,regular,0.0
s11-110-51,u051,2025-06-09,26.386260233842044,26.386260233842044,3.74824392944691,0.0,0,9.75,variable,0.0
