seed,variant,policy,sessions,users,repeated_users,tail_users,tail,mean_shortfall,delivered,cost,cost_per_kwh,repeat_failure,new_shortfall,new_sessions,excess_kwh,fallbacks,decisions,max_violation,latency_p50,latency_p95
11,uncalibrated,history,773,60,60,6,0.13720605614058431,0.032798143382298056,14176.822299556914,2153.297689246843,0.15188859983905864,0.0,0.014525631596546785,79,0.0,0,1039,5.684341886080802e-14,0.027094333025161177,0.058110021502943685
11,empirical,history,773,60,60,6,0.1267668969564308,0.043747682129476495,13986.848292447145,2097.918756579881,0.14999224362165642,0.0,0.02772263705756608,79,0.0,0,1026,2.842170943040401e-14,0.026077146001625806,0.05796393751370488
11,horizon_12h,history,773,60,60,6,0.13681552557286347,0.03226084506138845,14188.561983397616,2154.8079021364147,0.15186936524348332,0.0,0.014256459725171727,79,0.0,0,1035,2.842170943040401e-14,0.017236624989891425,0.038410220597870644
11,early,history,773,60,60,6,0.16322557866229181,0.04078301427481855,14056.974080438125,2126.0060712692984,0.1512420851816094,0.0,0.019945062178237164,79,0.0,0,1059,1.4210854715202004e-14,0.0272140420274809,0.06568651248817332
11,late,history,773,60,60,6,0.33811143583985964,0.12514931544458952,12791.910493142277,1735.7748217591966,0.13569316504284037,0.4666666666666667,0.15824828524722254,79,0.0,0,1225,1.4210854715202004e-14,0.0173039160144981,0.04960472460370511
11,wide,history,773,60,60,6,0.1385651590627718,0.03647500875405099,14133.111582636804,2140.6717915765926,0.15146500323442638,0.016666666666666666,0.017439425935926848,79,0.0,0,1042,1.4210854715202004e-14,0.010926166505669244,0.02349700239719822
11,narrow,history,773,60,60,6,0.17424621645470206,0.05330802490883851,13906.514391573271,2095.6252520496455,0.1506937822837548,0.03333333333333333,0.0725059702635037,79,0.0,0,1133,2.842170943040401e-14,0.01099741700454615,0.02275676701101474
11,shorter_stay,history,773,60,60,6,0.25409356939767164,0.09867036054185707,13107.358004478217,1866.977706065885,0.14243737795427724,0.11666666666666667,0.06723996218714208,79,0.0,0,984,1.1102230246251565e-16,0.011408208491047844,0.025796337485371613
11,shorter_stay,pf_mpc,773,60,60,6,0.282238552403131,0.09831590612274205,13101.384374820911,1867.0618791404358,0.14250874760446508,0.11666666666666667,0.056308825068407425,79,0.0,0,993,1.4210854715202004e-14,0.02056841700687073,0.07695280000334605
11,larger_requests,history,773,60,60,6,0.23564497385051883,0.09437716716495308,16356.001828584334,2810.0714074683615,0.17180674329330167,0.08333333333333333,0.06998945377756362,79,0.0,0,1202,1.4210854715202004e-14,0.012730520509649068,0.025979139599076023
11,larger_requests,pf_mpc,773,60,60,6,0.28630902640623374,0.09209611536546027,16417.299069622248,2829.3654363337764,0.17234049427588813,0.15,0.058876844441510395,79,0.0,0,1220,1.4210854715202004e-14,0.020674437488196418,0.061382114903244654
