sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s22-110-11,u011,2025-06-09,16.32259228127964,5.768399999999998,0.7523999999999996,0.646600251933281,0,2.75,variable,0.0
s22-110-15,u015,2025-06-09,25.69521842075794,4.554,0.594,0.8227685818649807,0,4.0,variable,0.0547657699465639
s22-110-35,u035,2025-06-09,19.397399155029834,16.090799999999998,2.0987999999999993,0.17046610881193425,0,5.5,regular,0.0
s22-110-4,u004,2025-06-09,19.617246155040807,17.9124,2.3364,0.08690547804553761,0,5.25,regular,0.0
s22-110-21,u021,2025-06-09,8.91325162535544,6.072,0.7919999999999999,0.3187671284038429,0,7.0,regular,0.0
s22-110-31,u031,2025-06-09,11.797703303994235,1.518,0.19799999999999998,0.8713308886581285,0,5.5,variable,0.0
s22-110-24,u024,2025-06-09,9.33359726945909,5.464799999999996,0.7127999999999994,0.41450227150022545,0,6.0,regular,0.0
s22-110-43,u043,2025-06-09,27.32227000444955,22.770000000000007,2.9699999999999998,0.16661390154288735,0,6.0,regular,0.0
s22-110-23,u023,2025-06-09,21.487731635565787,14.572799999999997,2.197799999999999,0.32180835803628627,0,5.75,regular,0.0
s22-110-38,u038,2025-06-09,15.42394627275764,11.840399999999999,1.5443999999999996,0.23233653757514938,0,7.75,regular,0.0
s22-110-50,u050,2025-06-09,20.292717442307833,14.269199999999994,2.158199999999999,0.2968314844688835,0,6.75,variable,0.0
s22-110-32,u032,2025-06-09,17.099732606908105,7.59,1.8809999999999998,0.5561334101251547,0,6.0,regular,0.0
s22-110-29,u029,2025-06-09,26.66672631314946,21.251999999999992,3.009599999999998,0.20305178256843048,0,7.5,regular,0.0
s22-110-40,u040,2025-06-09,11.926380090376677,3.036,0.9899999999999999,0.7454382656771328,0,7.0,regular,0.0
s22-110-33,u033,2025-06-09,24.402486383498243,17.6088,2.5937999999999994,0.2784014004446841,0,6.75,variable,0.0
s22-110-3,u003,2025-06-09,11.3212205621122,6.072,1.9799999999999998,0.4636620701198364,0,7.0,regular,0.0
s22-110-39,u039,2025-06-09,18.60844487133052,13.3584,3.2274,0.28213238170262733,0,7.75,variable,0.0
s22-110-54,u054,2025-06-09,24.326907319761425,17.6088,3.3659999999999988,0.2761595311502716,0,7.0,new,0.0
s22-110-57,u057,2025-06-09,29.421512240003302,24.591599999999996,4.039199999999998,0.16416261001826615,0,8.25,new,0.0
s22-110-2,u002,2025-06-09,28.021196721460555,23.6808,5.1678,0.1548969076733393,0,6.75,regular,0.0
s22-110-28,u028,2025-06-09,16.292437638216477,11.840399999999999,3.5639999999999996,0.2732579210721373,0,7.0,regular,0.0
s22-110-41,u041,2025-06-09,24.86448746560077,20.948400000000003,2.9699999999999993,0.15749721248099524,0,8.75,variable,0.0
s22-110-9,u009,2025-06-09,17.966709884140798,10.626000000000001,3.465,0.40857285120524134,0,6.5,variable,0.0
s22-110-14,u014,2025-06-09,21.9675817515204,21.555599999999995,5.9003999999999985,0.018754078449799816,0,8.5,variable,0.0
s22-110-52,u052,2025-06-09,13.472048850288289,13.472048850288289,4.393059407702702,0.0,0,8.5,variable,0.0
s22-111-41,u041,2025-06-10,22.11665438084252,10.626000000000001,1.386,0.5195475854067575,0,2.75,variable,0.24500334849633343
s22-111-12,u012,2025-06-10,15.644503597904254,6.679199999999994,0.8711999999999991,0.5730641142941255,0,5.75,variable,0.0
s22-111-59,u059,2025-06-10,11.164113872229716,3.036,0.39599999999999996,0.7280572345690661,0,6.5,new,0.0
s22-111-10,u010,2025-06-10,19.92510116035775,17.305199999999996,2.257199999999999,0.1314874709680378,0,6.75,regular,0.0
s22-111-27,u027,2025-06-10,20.29813983252123,16.3944,2.1383999999999994,0.19232007783623317,0,7.0,regular,0.0
s22-111-9,u009,2025-06-10,21.722340648382357,12.144000000000002,1.8809999999999998,0.44094422435529046,0,5.5,variable,0.0
s22-111-30,u030,2025-06-10,19.487225243725785,15.483599999999992,2.2571999999999983,0.20544870773815382,0,6.25,regular,0.0
s22-111-38,u038,2025-06-10,18.06799914166277,11.840399999999999,1.8413999999999995,0.34467563856047734,0,7.25,regular,0.0
s22-111-28,u028,2025-06-10,18.309986779845794,12.447599999999992,1.9205999999999985,0.3201742770398207,0,7.0,regular,0.0
s22-111-33,u033,2025-06-10,21.91615526472801,14.8764,2.474999999999999,0.32121305857226845,0,5.75,variable,0.0
s22-111-20,u020,2025-06-10,21.65069804912466,14.572799999999997,2.4947999999999992,0.32691315693679557,0,7.0,variable,0.0
s22-111-35,u035,2025-06-10,15.216671567864793,10.322399999999998,1.8809999999999991,0.32163877271299746,0,6.25,regular,0.0
s22-111-2,u002,2025-06-10,27.886560590334835,23.6808,4.217399999999999,0.15081675550166274,0,6.5,regular,0.0
s22-111-25,u025,2025-06-10,23.129691943811725,18.216000000000005,2.9699999999999998,0.2124408727858722,0,6.5,regular,0.0
s22-111-43,u043,2025-06-10,24.206860335916716,19.1268,3.0887999999999995,0.20986035633787758,0,6.5,regular,0.0
s22-111-8,u008,2025-06-10,25.363135232377477,11.840399999999999,2.672999999999999,0.5331649698857002,0,6.25,variable,0.0
