sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s22-110-11,u011,2025-06-09,16.32259228127964,13.28659228127964,1.7330337758190832,0.18599986740353636,0,2.75,variable,0.0
s22-110-15,u015,2025-06-09,25.69521842075794,10.8537,1.4156999999999997,0.5775984534448707,0,4.0,variable,0.0547657699465639
s22-110-35,u035,2025-06-09,19.397399155029834,19.397399155029834,2.5300955419604123,0.0,0,5.5,regular,0.0
s22-110-4,u004,2025-06-09,19.617246155040807,19.617246155040807,2.5587712376140175,0.0,0,5.25,regular,0.0
s22-110-21,u021,2025-06-09,8.91325162535544,8.91325162535544,1.1625980380898397,0.0,0,7.0,regular,0.0
s22-110-31,u031,2025-06-09,11.797703303994235,8.899583592396857,1.1608152511821985,0.24565117776916712,0,5.5,variable,0.0
s22-110-24,u024,2025-06-09,9.33359726945909,9.33359726945909,1.2174257307990117,0.0,0,6.0,regular,0.0
s22-110-43,u043,2025-06-09,27.32227000444955,27.32227000444955,3.5637743484064615,0.0,0,6.0,regular,0.0
s22-110-23,u023,2025-06-09,21.487731635565787,19.328673686850546,3.1151313504587663,0.10047863521999867,0,5.75,regular,0.0
s22-110-38,u038,2025-06-09,15.42394627275764,15.42394627275764,2.0118190790553436,0.0,0,7.75,regular,0.0
s22-110-50,u050,2025-06-09,20.292717442307833,20.292717442307833,2.646876188127108,0.0,0,6.75,variable,0.0
s22-110-32,u032,2025-06-09,17.099732606908105,17.099732606908105,2.2303999052488828,0.0,0,6.0,regular,0.0
s22-110-29,u029,2025-06-09,26.66672631314946,26.66672631314946,4.963268649541233,0.0,0,7.5,regular,0.0
s22-110-40,u040,2025-06-09,11.926380090376677,11.926380090376677,2.131319815558257,0.0,0,7.0,regular,0.0
s22-110-33,u033,2025-06-09,24.402486383498243,24.402486383498243,3.182933006543248,0.0,0,6.75,variable,0.0
s22-110-3,u003,2025-06-09,11.3212205621122,11.3212205621122,1.4766809428842,0.0,0,7.0,regular,0.0
s22-110-39,u039,2025-06-09,18.60844487133052,18.60844487133052,2.4271884614778934,0.0,0,7.75,variable,0.0
s22-110-54,u054,2025-06-09,24.326907319761425,24.326907319761425,3.173074867794967,0.0,0,7.0,new,0.0
s22-110-57,u057,2025-06-09,29.421512240003302,29.421512240003302,3.8375885530439073,0.0,0,8.25,new,0.0
s22-110-2,u002,2025-06-09,28.021196721460555,26.503196721460554,6.129938702799202,0.05417327514914494,0,6.75,regular,0.0
s22-110-28,u028,2025-06-09,16.292437638216477,16.292437638216477,2.125100561506496,0.0,0,7.0,regular,0.0
s22-110-41,u041,2025-06-09,24.86448746560077,24.86448746560077,3.4385379364772155,0.0,0,8.75,variable,0.0
s22-110-9,u009,2025-06-09,17.966709884140798,17.966709884140798,4.719483897931408,0.0,0,6.5,variable,0.0
s22-110-14,u014,2025-06-09,21.9675817515204,21.9675817515204,5.381341875495781,0.0,0,8.5,variable,0.0
s22-110-52,u052,2025-06-09,13.472048850288289,13.472048850288289,3.836223763081081,0.0,0,8.5,variable,0.0
s22-111-41,u041,2025-06-10,22.11665438084252,6.072,0.7919999999999999,0.7254557630895757,0,2.75,variable,0.24500334849633343
s22-111-12,u012,2025-06-10,15.644503597904254,15.644503597904254,2.0405874258135976,0.0,0,5.75,variable,0.0
s22-111-59,u059,2025-06-10,11.164113872229716,11.164113872229716,1.4561887659430062,0.0,0,6.5,new,0.0
s22-111-10,u010,2025-06-10,19.92510116035775,19.92510116035775,2.598926238307532,0.0,0,6.75,regular,0.0
s22-111-27,u027,2025-06-10,20.29813983252123,20.29813983252123,2.6475834564158114,0.0,0,7.0,regular,0.0
s22-111-9,u009,2025-06-10,21.722340648382357,18.419997737435768,2.9966084005350995,0.1520251875431532,0,5.5,variable,0.0
s22-111-30,u030,2025-06-10,19.487225243725785,19.487225243725785,2.541811988312058,0.0,0,6.25,regular,0.0
s22-111-38,u038,2025-06-10,18.06799914166277,18.06799914166277,2.3566955402168825,0.0,0,7.25,regular,0.0
s22-111-28,u028,2025-06-10,18.309986779845794,18.309986779845794,2.3882591451972766,0.0,0,7.0,regular,0.0
s22-111-33,u033,2025-06-10,21.91615526472801,21.91615526472801,2.858628947573217,0.0,0,5.75,variable,0.0
s22-111-20,u020,2025-06-10,21.65069804912466,21.650698049124657,4.0120040933640855,1.1102230246251565e-16,0,7.0,variable,0.0
s22-111-35,u035,2025-06-10,15.216671567864793,15.216671567864793,1.9847832479823637,0.0,0,6.25,regular,0.0
s22-111-2,u002,2025-06-10,27.886560590334835,27.886560590334835,5.232443670761357,0.0,0,6.5,regular,0.0
s22-111-25,u025,2025-06-10,23.129691943811725,23.129691943811725,3.907916340497181,0.0,0,6.5,regular,0.0
s22-111-43,u043,2025-06-10,24.206860335916716,24.206860335916716,4.345416565554353,0.0,0,6.5,regular,0.0
s22-111-8,u008,2025-06-10,25.363135232377477,25.363135232377477,4.793235030310105,0.0,0,6.25,variable,0.0
s22-111-15,u015,2025-06-10,21.921031351836138,21.921031351836138,2.8592649589351473,0.0,0,7.5,variable,0.0
s22-111-57,u057,2025-06-10,28.601890964177922,28.601890964177922,4.324681430110163,0.0,0,7.0,new,0.0
s22-111-18,u018,2025-06-10,14.451446960180217,14.451446960180217,1.884971342632202,0.0,0,8.0,variable,0.0
s22-111-37,u037,2025-06-10,19.584190078141344,19.584190078141344,4.01014893852435,0.0,0,7.0,regular,0.0
s22-111-49,u049,2025-06-10,9.765349828558442,9.765349828558442,1.2737412819858835,0.0,0,8.0,regular,0.0
s22-111-34,u034,2025-06-10,11.163401135740871,11.163401135740871,1.4560958003140265,0.0,0,8.25,variable,0.0
s22-112-9,u009,2025-06-11,20.443406392225484,4.554,0.594,0.7772386894518781,0,2.25,variable,0.3317160683556345
s22-112-18,u018,2025-06-11,19.374380677010663,19.374380677010663,2.527093131783999,0.0,0,4.25,variable,0.0
s22-112-16,u016,2025-06-11,31.497609621361278,5.691609621361268,0.7423838636558175,0.8193002678685404,0,4.25,variable,0.18069973213145984
s22-112-54,u054,2025-06-11,21.554227380134147,21.554227380134147,2.811420962626192,0.0,0,6.25,new,0.0
s22-112-28,u028,2025-06-11,16.148149600680316,16.148149600680316,2.106280382697432,0.0,0,7.0,regular,0.0
s22-112-55,u055,2025-06-11,18.27296820422378,18.27296820422378,2.3834306353335357,0.0,0,6.75,new,0.0
s22-112-58,u058,2025-06-11,17.02222732815173,17.02222732815173,2.220290521063269,0.0,0,6.0,new,0.0
s22-112-6,u006,2025-06-11,18.60216252893643,11.012162528936425,2.6243690255134466,0.40801707802485043,0,5.25,variable,0.0
s22-112-24,u024,2025-06-11,17.010136789166893,17.010136789166893,2.2187134942391595,0.0,0,5.75,regular,0.0
