sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s33-110-7,u007,2025-06-09,16.362833091336118,0.0,0.0,1.0,0,3.0,variable,0.0
s33-110-24,u024,2025-06-09,8.391802258535277,8.391802258535277,1.0945829032872099,0.0,0,5.75,regular,0.0
s33-110-58,u058,2025-06-09,13.954807693327771,0.0,0.0,1.0,0,4.25,new,0.0
s33-110-6,u006,2025-06-09,19.35159535324849,19.35159535324849,2.5241211330324114,0.0,0,4.75,variable,0.0
s33-110-0,u000,2025-06-09,28.351488024701258,28.351488024701258,3.698020177134945,0.0,0,5.25,regular,0.0
s33-110-17,u017,2025-06-09,22.2619715045596,12.144000000000002,1.5839999999999999,0.4544957531046736,0,6.5,regular,0.0
s33-110-34,u034,2025-06-09,10.85935851238035,10.85935851238035,1.4164380668322194,0.0,0,5.75,variable,0.0
s33-110-35,u035,2025-06-09,20.25794529492751,20.25794529492751,2.6423406906427176,0.0,0,5.75,regular,0.0
s33-110-40,u040,2025-06-09,21.587396646649292,21.587396646649292,2.815747388693385,0.0,0,6.5,regular,0.0
s33-110-43,u043,2025-06-09,23.27693322220459,0.30359999999999965,0.09899999999999988,0.9869570446801649,0,4.75,variable,0.0
s33-110-14,u014,2025-06-09,18.868731064118627,18.868731064118627,2.461138834450255,0.0,0,6.0,regular,0.0
s33-110-15,u015,2025-06-09,13.317361840946734,13.317361840946734,2.213773329239927,0.0,0,6.5,variable,0.0
s33-110-18,u018,2025-06-09,24.401845747716127,5.290686621198874,1.2840895592868096,0.7831849821567678,0,6.0,variable,0.0
s33-110-32,u032,2025-06-09,28.122423999652035,28.122423999652035,3.668142260824177,0.0,0,5.5,regular,0.0
s33-110-8,u008,2025-06-09,18.668553145265264,16.4776547050725,2.743259309357282,0.11735769896814008,0,5.75,regular,0.0
s33-110-51,u051,2025-06-09,10.325707328196449,10.325707328196449,1.3468313906343194,0.0,0,6.5,regular,0.0
s33-110-41,u041,2025-06-09,14.018505893608573,12.822314363514984,2.8604757865454324,0.08532945944253345,0,6.75,regular,0.0
s33-110-53,u053,2025-06-09,22.425521142650254,12.447600000000001,3.4055999999999997,0.4449359762558035,0,6.75,regular,0.0
s33-110-47,u047,2025-06-09,17.839572520724193,10.9296,3.5046,0.3873395796169943,0,7.25,regular,0.0
s33-110-49,u049,2025-06-09,26.309694721459813,9.108,2.9699999999999998,0.6538158235423783,0,6.75,variable,0.0
s33-110-21,u021,2025-06-09,19.513579948619316,8.197199999999999,2.6729999999999996,0.5799233138366293,0,7.75,regular,0.0
s33-110-20,u020,2025-06-09,23.086803567262965,13.662000000000003,4.455,0.408233367594781,0,7.25,variable,0.0
s33-110-22,u022,2025-06-09,25.34853552639449,14.564999766738193,4.749456445675497,0.4254106020613223,0,7.75,regular,0.0
s33-110-38,u038,2025-06-09,23.43180081085242,9.7152,3.1679999999999997,0.5853839797280791,0,6.5,regular,0.0
s33-110-55,u055,2025-06-09,30.81149494037015,7.893599999999999,2.574,0.7438098990238359,0,8.5,new,0.0
s33-110-23,u023,2025-06-09,14.594134220119463,14.594134220119463,1.9035827243634076,0.0,0,10.0,variable,0.0
s33-110-44,u044,2025-06-09,23.993776103023748,23.993776103023748,5.565022969959622,0.0,0,10.5,variable,0.0
s33-111-6,u006,2025-06-10,20.373257769221382,12.144000000000002,1.5839999999999999,0.4039244907436266,0,2.0,variable,0.4039244907436267
s33-111-7,u007,2025-06-10,15.229526360038145,3.5183422304934684,0.4589142039774089,0.768978880411836,0,2.75,variable,0.0
s33-111-26,u026,2025-06-10,22.21166291046569,0.0,0.0,1.0,0,3.5,variable,0.04320536082030657
s33-111-14,u014,2025-06-10,20.21151329557647,20.21151329557647,2.636284342901278,0.0,0,5.5,regular,0.0
s33-111-5,u005,2025-06-10,15.292365423912882,0.0,0.0,1.0,0,5.0,variable,0.0
s33-111-0,u000,2025-06-10,22.68428322522786,12.144000000000002,1.5839999999999999,0.46465136767053317,0,5.25,regular,0.0
s33-111-24,u024,2025-06-10,14.697064631140965,14.697064631140965,1.9170084301488208,0.0,0,6.5,regular,0.0
s33-111-41,u041,2025-06-10,16.785172141734694,9.829535970051499,1.2821133873980215,0.4143917091197823,0,6.25,regular,0.0
s33-111-42,u042,2025-06-10,19.555257769506536,19.555257769506536,2.550685796022591,0.0,0,6.0,variable,0.0
s33-111-50,u050,2025-06-10,10.29552951365454,10.29552951365454,1.3428951539549399,0.0,0,5.0,variable,0.0
s33-111-56,u056,2025-06-10,19.645749022907257,19.645749022907257,2.5624890029879026,0.0,0,7.0,new,0.0
s33-111-8,u008,2025-06-10,18.26480228806305,14.5728,1.9007999999999996,0.2021375446519864,0,5.5,regular,0.0
s33-111-13,u013,2025-06-10,24.64328169948468,0.0,0.0,1.0,0,5.0,variable,0.0
s33-111-16,u016,2025-06-10,20.252036040211117,5.161199999999999,1.2671999999999997,0.7451515497132111,0,5.75,regular,0.0
s33-111-35,u035,2025-06-10,24.52617581520265,23.707670486345467,3.68630484604506,0.03337272532923086,0,5.5,regular,0.0
s33-111-9,u009,2025-06-10,21.47495171133576,21.47495171133576,2.8010806580003154,0.0,0,5.75,regular,0.0
s33-111-36,u036,2025-06-10,28.145056863987588,28.145056863987588,3.671094373563597,0.0,0,6.25,regular,0.0
s33-111-2,u002,2025-06-10,18.71971700450449,17.523137681516282,3.4736266541108187,0.06392080193842009,0,6.5,variable,0.0
s33-111-55,u055,2025-06-10,26.987959013334425,0.0,0.0,1.0,0,5.25,new,0.0
s33-111-30,u030,2025-06-10,15.08524536819276,7.893599999999999,2.5145999999999997,0.47673373502802585,0,5.5,regular,0.0
s33-111-23,u023,2025-06-10,15.328124690587714,0.30359999999999965,0.09899999999999988,0.9801932717714369,0,5.75,variable,0.0
s33-111-33,u033,2025-06-10,20.660192021418325,6.982799999999998,2.2175999999999996,0.662016694096504,0,7.25,regular,0.0
s33-111-11,u011,2025-06-10,11.164990823484207,11.164990823484207,1.4563031508892441,0.0,0,7.75,variable,0.0
s33-111-46,u046,2025-06-10,12.232061102604266,9.108,2.9699999999999998,0.2553994029623624,0,7.5,variable,0.0
s33-111-59,u059,2025-06-10,26.426611104791466,20.644800000000004,5.3658,0.2187874594235486,0,7.0,new,0.0
s33-111-31,u031,2025-06-10,22.074798409074624,15.180000000000003,4.95,0.31233800106823495,0,7.75,variable,0.0
s33-111-22,u022,2025-06-10,28.96870809336461,6.679199999999999,2.1779999999999995,0.7694339706667866,0,7.5,regular,0.0
s33-111-20,u020,2025-06-10,21.729547832293107,14.269200000000001,4.653,0.34332733887844635,0,8.25,variable,0.0
s33-111-44,u044,2025-06-10,19.23340390406386,12.144000000000002,3.96,0.3685985039063171,0,8.75,variable,0.0
s33-111-57,u057,2025-06-10,9.802045851443655,9.802045851443655,3.1963192993838003,0.0,0,8.0,new,0.0
s33-112-50,u050,2025-06-11,15.166858647199021,13.662000000000003,1.7819999999999998,0.09922019333099885,0,2.25,variable,0.09922019333099896
s33-112-34,u034,2025-06-11,13.714471336696635,13.714471336696635,1.7888440873952127,0.0,0,3.0,variable,0.0
s33-112-39,u039,2025-06-11,22.07201552423715,22.07201552423715,2.8789585466396272,0.0,0,4.25,variable,0.0
s33-112-14,u014,2025-06-11,15.230088938731736,15.230088938731736,1.9865333398345737,0.0,0,5.25,regular,0.0
s33-112-26,u026,2025-06-11,21.83374158619906,10.769609972241343,1.40473173550974,0.5067446443055491,0,4.75,variable,0.0
s33-112-32,u032,2025-06-11,25.568967728544003,25.568967728544003,3.3350827472013904,0.0,0,4.25,regular,0.0
s33-112-42,u042,2025-06-11,23.423700702200364,23.423700702200364,3.055265308982655,0.0,0,5.5,variable,0.0
s33-112-11,u011,2025-06-11,15.022673807469236,3.5766322714560026,0.466517252798609,0.7619177306720386,0,5.0,variable,0.0
s33-112-24,u024,2025-06-11,16.9537535055584,9.108,1.4849999999999999,0.4627738337109901,0,5.75,regular,0.0
s33-112-58,u058,2025-06-11,14.519974503521516,14.519974503521516,1.8939097178506321,0.0,0,6.0,new,0.0
s33-112-0,u000,2025-06-11,30.954632018006443,27.881111061268275,4.230666660165426,0.09929114825045526,0,6.0,regular,0.0
s33-112-2,u002,2025-06-11,14.952836947461845,14.952836947461845,1.9503700366254575,0.0,0,6.25,variable,0.0
s33-112-20,u020,2025-06-11,27.133115531981446,27.133115531981446,3.858155064776556,0.0,0,7.25,variable,0.0
s33-112-22,u022,2025-06-11,28.239990030725206,12.447600000000001,2.8116,0.5592208075690901,0,6.5,regular,0.0
s33-112-47,u047,2025-06-11,17.53192949698826,9.7152,2.4551999999999996,0.4458567722583566,0,6.75,regular,0.0
s33-112-1,u001,2025-06-11,29.46821667018922,7.59,2.4749999999999996,0.7424343629291205,0,7.25,regular,0.0
s33-112-3,u003,2025-06-11,15.80897063653492,4.554,1.4849999999999999,0.7119357038037888,0,6.5,regular,0.0
s33-112-27,u027,2025-06-11,14.74896966401333,6.679199999999999,2.1779999999999995,0.5471412476834312,0,6.75,regular,0.0
s33-112-33,u033,2025-06-11,15.26278274551066,10.626000000000001,3.465,0.30379668130141646,0,7.0,regular,0.0
s33-112-45,u045,2025-06-11,16.533577372068326,16.533577372068326,2.4213839256744527,0.0,0,7.5,variable,0.0
s33-112-10,u010,2025-06-11,15.993884757156014,13.043813641572848,4.168936641322221,0.18444994198568543,0,7.5,regular,0.0
s33-112-21,u021,2025-06-11,22.285152868210737,3.3396,1.0889999999999997,0.8501423786612716,0,6.75,regular,0.0
s33-112-4,u004,2025-06-11,18.084294729098357,6.679199999999999,2.1779999999999995,0.6306629536814119,0,6.75,variable,0.0
s33-112-44,u044,2025-06-11,15.746152954217777,15.746152954217777,5.134615093766667,0.0,0,8.75,variable,0.0
s33-113-58,u058,2025-06-12,13.75488274606567,13.75488274606567,1.7941151407911737,0.0,0,4.5,new,0.0
s33-113-5,u005,2025-06-12,17.713909203140517,0.0,0.0,1.0,0,5.25,variable,0.0
s33-113-6,u006,2025-06-12,21.916045606478345,0.0,0.0,1.0,0,4.25,variable,0.0
s33-113-0,u000,2025-06-12,28.89758460534113,28.89758460534113,3.769250165914059,0.0,0,6.5,regular,0.0
s33-113-12,u012,2025-06-12,17.15907599393868,17.15907599393868,2.238140347035479,0.0,0,5.75,variable,0.0
s33-113-55,u055,2025-06-12,18.647057482313095,0.0,0.0,1.0,0,5.5,new,0.0
s33-113-27,u027,2025-06-12,18.7107522716443,17.95133038196884,2.935477875908979,0.04058745894607052,0,6.25,regular,0.0
s33-113-23,u023,2025-06-12,13.751284276694832,13.751284276694832,2.7713924900805034,0.0,0,7.0,variable,0.0
s33-113-32,u032,2025-06-12,22.124192996670438,22.124192996670438,2.8857643039135343,0.0,0,6.0,regular,0.0
s33-113-38,u038,2025-06-12,23.64186961803117,23.64186961803117,3.083722124091021,0.0,0,7.25,regular,0.0
s33-113-54,u054,2025-06-12,15.670573378951282,1.6818279018295352,0.5484221419009354,0.8926760456583824,0,5.5,new,0.0
s33-113-16,u016,2025-06-12,22.95313370510591,22.95313370510591,3.4636902237212945,0.0,0,7.0,regular,0.0
s33-113-49,u049,2025-06-12,24.13022764472615,0.6071999999999993,0.13859999999999983,0.9748365407512968,0,7.25,variable,0.0
s33-113-53,u053,2025-06-12,20.658282113858213,4.554,1.4849999999999999,0.7795557261295684,0,6.5,regular,0.0
s33-113-20,u020,2025-06-12,25.880363670240104,25.880363670240104,5.1083014379754506,0.0,0,7.25,variable,0.0
s33-113-8,u008,2025-06-12,18.035280794202354,18.035280794202354,2.3524279296785675,0.0,0,7.25,regular,0.0
s33-113-10,u010,2025-06-12,13.722756496761367,11.564383548828427,3.236394635487531,0.15728421242789847,0,7.75,regular,0.0
s33-113-21,u021,2025-06-12,19.875247937104792,3.7638986110262396,0.9303582427259475,0.8106238159676249,0,8.0,regular,0.0
s33-113-29,u029,2025-06-12,27.45268705841462,2.2643403349735705,0.7383718483609468,0.917518444363736,0,6.5,regular,0.0
s33-113-3,u003,2025-06-12,10.968406371953707,1.8215999999999997,0.5939999999999999,0.8339230022824606,0,7.0,regular,0.0
s33-113-56,u056,2025-06-12,11.786407954131489,7.59,2.4749999999999996,0.35603790149317904,0,7.5,new,0.0
s33-113-57,u057,2025-06-12,13.983008410299346,10.626000000000001,3.465,0.2400776937119412,0,8.0,new,0.0
s33-113-4,u004,2025-06-12,21.68738093059264,21.68738093059264,4.577172042584554,0.0,0,9.25,variable,0.0
s33-113-18,u018,2025-06-12,22.006682063014882,22.006682063014882,4.862813681811459,0.0,0,9.75,variable,0.0
s33-113-11,u011,2025-06-12,19.480887821475633,19.480887821475633,2.5409853680185606,0.0,0,10.0,variable,0.0
s33-113-25,u025,2025-06-12,8.533774685480132,8.533774685480132,2.7827526148304775,0.0,0,10.0,variable,0.0
s33-113-44,u044,2025-06-12,21.341364407732872,21.252000000000006,5.445000000000002,0.004187380245495698,0,10.5,variable,0.0
s33-113-31,u031,2025-06-12,23.77699514346793,23.77699514346793,6.665347192626252,0.0,0,10.5,variable,0.0
s33-113-46,u046,2025-06-12,15.26355063716419,15.26355063716419,4.129297909195329,0.0,0,10.25,variable,0.0
s33-114-45,u045,2025-06-13,12.564354996736139,0.0,0.0,1.0,0,3.5,variable,0.0
s33-114-14,u014,2025-06-13,11.392824089269723,11.392824089269723,1.4860205333830072,0.0,0,5.75,regular,0.0
s33-114-43,u043,2025-06-13,20.80887091228307,0.0,0.0,1.0,0,3.5,variable,0.0
s33-114-30,u030,2025-06-13,17.67400702810322,17.67400702810322,2.305305264535202,0.0,0,5.75,regular,0.0
s33-114-55,u055,2025-06-13,28.418240354831994,28.418240354831994,3.7067270028041714,0.0,0,7.25,new,0.0
s33-114-6,u006,2025-06-13,20.746366819444514,20.746366819444514,2.706047846014501,0.0,0,5.25,variable,0.0
s33-114-2,u002,2025-06-13,15.888511732943469,15.888511732943469,2.072414573862191,0.0,0,7.0,variable,0.0
s33-114-28,u028,2025-06-13,20.261234607604436,20.261234607604436,2.6427697314266645,0.0,0,6.0,regular,0.0
s33-114-37,u037,2025-06-13,30.57665804581914,21.49039297189679,3.3970947354647976,0.2971634460609325,0,5.75,variable,0.0
s33-114-49,u049,2025-06-13,31.554190407411006,0.0,0.0,1.0,0,6.25,variable,0.0
s33-114-41,u041,2025-06-13,17.339142391820882,17.339142391820882,2.2616272684983754,0.0,0,7.5,regular,0.0
s33-114-54,u054,2025-06-13,19.96238778555554,19.96238778555554,2.603789711159417,0.0,0,6.0,new,0.0
s33-114-8,u008,2025-06-13,18.284081364434787,17.727014603940813,3.2032192961661923,0.030467309206879345,0,6.25,regular,0.0
s33-114-4,u004,2025-06-13,25.484873700256983,25.31895964516802,4.490472997195828,0.006510295363452712,0,7.25,variable,0.0
s33-114-18,u018,2025-06-13,24.090393840387474,0.0,0.0,1.0,0,6.25,variable,0.0
s33-114-44,u044,2025-06-13,23.109986977084795,3.6431999999999993,1.1285999999999996,0.8423538704884389,0,7.25,variable,0.0
s33-114-17,u017,2025-06-13,20.59344034777143,17.34760909128577,4.044731620602491,0.1576148133420998,0,7.25,regular,0.0
s33-114-29,u029,2025-06-13,27.509178653614775,14.040812214444468,3.6134102888405826,0.4895953677410332,0,6.75,regular,0.0
s33-114-20,u020,2025-06-13,20.451453058652127,20.451453058652127,3.9365520843430835,0.0,0,7.75,variable,0.0
s33-114-32,u032,2025-06-13,16.8499097779609,12.144,3.7817999999999996,0.2792839748089374,0,5.75,regular,0.0
s33-114-1,u001,2025-06-13,26.363799496811886,9.4116,3.069,0.6430104848453986,0,7.75,regular,0.0
s33-114-15,u015,2025-06-13,12.370694410636819,9.108,2.9699999999999998,0.2637438370340329,0,8.25,variable,0.0
s33-114-47,u047,2025-06-13,12.474756957899135,1.8215999999999997,0.5939999999999999,0.8539771150534083,0,6.75,regular,0.0
s33-114-42,u042,2025-06-13,23.171149450777808,9.4116,3.069,0.593822480840109,0,6.5,variable,0.0
