sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s33-110-7,u007,2025-06-09,16.362833091336118,0.0,0.0,1.0,0,3.0,variable,0.0
s33-110-24,u024,2025-06-09,8.391802258535277,8.391802258535277,1.0945829032872099,0.0,0,5.75,regular,0.0
s33-110-58,u058,2025-06-09,13.954807693327771,10.626000000000001,1.386,0.23854199688608946,0,4.25,new,0.0
s33-110-6,u006,2025-06-09,19.35159535324849,18.061295353248493,2.355821133032411,0.06667667323786819,0,4.75,variable,0.0
s33-110-0,u000,2025-06-09,28.351488024701258,17.55097263190518,2.2892572998137184,0.3809505653948788,0,5.25,regular,0.0
s33-110-17,u017,2025-06-09,22.2619715045596,22.2619715045596,2.903735413638208,0.0,0,6.5,regular,0.0
s33-110-34,u034,2025-06-09,10.85935851238035,10.85935851238035,1.4164380668322194,0.0,0,5.75,variable,0.0
s33-110-35,u035,2025-06-09,20.25794529492751,20.25794529492751,2.6423406906427176,0.0,0,5.75,regular,0.0
s33-110-40,u040,2025-06-09,21.587396646649292,21.587396646649292,2.815747388693385,0.0,0,6.5,regular,0.0
s33-110-43,u043,2025-06-09,23.27693322220459,9.985159099353792,1.599412056437451,0.5710277207038323,0,4.75,variable,0.0
s33-110-14,u014,2025-06-09,18.868731064118627,18.868731064118627,2.461138834450255,0.0,0,6.0,regular,0.0
s33-110-15,u015,2025-06-09,13.317361840946734,13.317361840946734,1.7370471966452259,0.0,0,6.5,variable,0.0
s33-110-18,u018,2025-06-09,24.401845747716127,24.401845747716127,3.2889109836162347,0.0,0,6.0,variable,0.0
s33-110-32,u032,2025-06-09,28.122423999652035,15.97842399965203,2.678142260824177,0.43182621811513355,0,5.5,regular,0.0
s33-110-8,u008,2025-06-09,18.668553145265264,18.668553145265264,2.4350286711215556,0.0,0,5.75,regular,0.0
s33-110-51,u051,2025-06-09,10.325707328196449,10.325707328196449,1.3468313906343192,0.0,0,6.5,regular,0.0
s33-110-41,u041,2025-06-09,14.018505893608573,14.018505893608573,1.8285007687315524,0.0,0,6.75,regular,0.0
s33-110-53,u053,2025-06-09,22.425521142650254,22.425521142650254,4.068517975128293,0.0,0,6.75,regular,0.0
s33-110-47,u047,2025-06-09,17.839572520724193,17.839572520724193,2.3269007635727204,0.0,0,7.25,regular,0.0
s33-110-49,u049,2025-06-09,26.309694721459813,23.466982595364527,5.436910773308416,0.10804808479121553,0,6.75,variable,0.0
s33-110-21,u021,2025-06-09,19.513579948619316,19.513579948619316,2.545249558515562,0.0,0,7.75,regular,0.0
s33-110-20,u020,2025-06-09,23.086803567262965,23.08680356726296,5.684322204425603,1.1102230246251565e-16,0,7.25,variable,0.0
s33-110-22,u022,2025-06-09,25.34853552639449,25.34853552639449,5.682330720834063,0.0,0,7.75,regular,0.0
s33-110-38,u038,2025-06-09,23.43180081085242,23.43180081085242,6.323321844893793,0.0,0,6.5,regular,0.0
s33-110-55,u055,2025-06-09,30.81149494037015,30.81149494037015,6.691890644396105,0.0,0,8.5,new,0.0
s33-110-23,u023,2025-06-09,14.594134220119463,14.594134220119463,1.9035827243634078,0.0,0,10.0,variable,0.0
s33-110-44,u044,2025-06-09,23.993776103023748,23.993776103023748,6.376771981002068,0.0,0,10.5,variable,0.0
s33-111-6,u006,2025-06-10,20.373257769221382,0.0,0.0,1.0,0,2.0,variable,0.4039244907436267
s33-111-7,u007,2025-06-10,15.229526360038145,15.226976650356779,1.9861273891769704,0.00016741884291660014,0,2.75,variable,0.0
s33-111-26,u026,2025-06-10,22.21166291046569,1.518,0.19799999999999998,0.9316575257728791,0,3.5,variable,0.04320536082030657
s33-111-14,u014,2025-06-10,20.21151329557647,20.21151329557647,2.636284342901278,0.0,0,5.5,regular,0.0
s33-111-5,u005,2025-06-10,15.292365423912882,15.292365423912882,1.9946563596408102,0.0,0,5.0,variable,0.0
s33-111-0,u000,2025-06-10,22.68428322522786,22.68428322522786,2.958819551116676,0.0,0,5.25,regular,0.0
s33-111-24,u024,2025-06-10,14.697064631140965,14.697064631140965,1.9170084301488208,0.0,0,6.5,regular,0.0
s33-111-41,u041,2025-06-10,16.785172141734694,16.785172141734694,2.1893702793566985,0.0,0,6.25,regular,0.0
s33-111-42,u042,2025-06-10,19.555257769506536,19.555257769506536,2.5506857960225906,0.0,0,6.0,variable,0.0
s33-111-50,u050,2025-06-10,10.29552951365454,10.29552951365454,1.3428951539549396,0.0,0,5.0,variable,0.0
s33-111-56,u056,2025-06-10,19.645749022907257,19.645749022907257,2.562489002987902,0.0,0,7.0,new,0.0
s33-111-8,u008,2025-06-10,18.26480228806305,18.26480228806305,2.38236551583431,0.0,0,5.5,regular,0.0
s33-111-13,u013,2025-06-10,24.64328169948468,12.144000000000002,2.178,0.5072084900018026,0,5.0,variable,0.0
s33-111-16,u016,2025-06-10,20.252036040211117,20.252036040211117,2.641569918288406,0.0,0,5.75,regular,0.0
s33-111-35,u035,2025-06-10,24.52617581520265,13.662000000000003,2.376,0.4429624861642084,0,5.5,regular,0.0
s33-111-9,u009,2025-06-10,21.47495171133576,21.47495171133576,3.1151405357394393,0.0,0,5.75,regular,0.0
s33-111-36,u036,2025-06-10,28.145056863987588,20.555056863987588,3.5720943735635977,0.2696743530019875,0,6.25,regular,0.0
s33-111-2,u002,2025-06-10,18.71971700450449,18.71971700450449,2.441702217978846,0.0,0,6.5,variable,0.0
s33-111-55,u055,2025-06-10,26.987959013334425,15.180000000000003,3.168,0.43752693590131253,0,5.25,new,0.0
s33-111-30,u030,2025-06-10,15.08524536819276,12.049245368192759,3.0566407001990554,0.20125625575845174,0,5.5,regular,0.0
s33-111-23,u023,2025-06-10,15.328124690587714,13.810124690587713,3.5833206118157883,0.09903364114281599,0,5.75,variable,0.0
s33-111-33,u033,2025-06-10,20.660192021418325,20.660192021418325,2.694807654967607,0.0,0,7.25,regular,0.0
s33-111-11,u011,2025-06-10,11.164990823484207,11.164990823484207,1.4563031508892441,0.0,0,7.75,variable,0.0
s33-111-46,u046,2025-06-10,12.232061102604266,12.232061102604266,1.5954862307744688,0.0,0,7.5,variable,0.0
s33-111-59,u059,2025-06-10,26.426611104791466,22.770000000000007,5.643000000000001,0.13836852142303147,0,7.0,new,0.0
s33-111-31,u031,2025-06-10,22.074798409074624,22.074798409074624,4.572221531618428,0.0,0,7.75,variable,0.0
s33-111-22,u022,2025-06-10,28.96870809336461,27.32400000000001,7.128000000000001,0.05677533454594508,0,7.5,regular,0.0
s33-111-20,u020,2025-06-10,21.729547832293107,21.729547832293107,4.913288847690405,0.0,0,8.25,variable,0.0
s33-111-44,u044,2025-06-10,19.23340390406386,19.23340390406386,2.5087048570518067,0.0,0,8.75,variable,0.0
s33-111-57,u057,2025-06-10,9.802045851443655,9.802045851443655,2.3734932826131376,0.0,0,8.0,new,0.0
s33-112-50,u050,2025-06-11,15.166858647199021,13.648858647199022,1.78028591050422,0.10008664518544452,0,2.25,variable,0.09922019333099896
s33-112-34,u034,2025-06-11,13.714471336696635,9.160471336696634,1.1948440873952129,0.3320580056056983,0,3.0,variable,0.0
s33-112-39,u039,2025-06-11,22.07201552423715,22.07201552423715,2.8789585466396272,0.0,0,4.25,variable,0.0
s33-112-14,u014,2025-06-11,15.230088938731736,15.230088938731736,1.9865333398345737,0.0,0,5.25,regular,0.0
s33-112-26,u026,2025-06-11,21.83374158619906,21.83374158619906,2.847879337330311,0.0,0,4.75,variable,0.0
s33-112-32,u032,2025-06-11,25.568967728544003,15.626067728544003,2.038182747201391,0.38886591377328894,0,4.25,regular,0.0
s33-112-42,u042,2025-06-11,23.423700702200364,23.423700702200364,3.055265308982655,0.0,0,5.5,variable,0.0
s33-112-11,u011,2025-06-11,15.022673807469236,15.022673807469236,1.9594791922785952,0.0,0,5.0,variable,0.0
s33-112-24,u024,2025-06-11,16.9537535055584,16.9537535055584,2.2113591528989214,0.0,0,5.75,regular,0.0
s33-112-58,u058,2025-06-11,14.519974503521516,14.519974503521516,1.893909717850632,0.0,0,6.0,new,0.0
s33-112-0,u000,2025-06-11,30.954632018006443,27.91863201800644,4.235560698000839,0.09807902087913523,0,6.0,regular,0.0
s33-112-2,u002,2025-06-11,14.952836947461845,14.952836947461845,1.9503700366254577,0.0,0,6.25,variable,0.0
s33-112-20,u020,2025-06-11,27.133115531981446,27.133115531981446,3.539102025910622,0.0,0,7.25,variable,0.0
s33-112-22,u022,2025-06-11,28.239990030725206,28.239990030725206,4.871476960529374,0.0,0,6.5,regular,0.0
s33-112-47,u047,2025-06-11,17.53192949698826,17.53192949698826,2.2867734126506414,0.0,0,6.75,regular,0.0
s33-112-1,u001,2025-06-11,29.46821667018922,29.46821667018922,5.031680435242071,0.0,0,7.25,regular,0.0
s33-112-3,u003,2025-06-11,15.80897063653492,15.80897063653492,2.953039648243684,0.0,0,6.5,regular,0.0
s33-112-27,u027,2025-06-11,14.74896966401333,14.74896966401333,2.814778651827825,0.0,0,6.75,regular,0.0
s33-112-33,u033,2025-06-11,15.26278274551066,15.26278274551066,2.5847977494144336,0.0,0,7.0,regular,0.0
s33-112-45,u045,2025-06-11,16.533577372068326,16.533577372068326,2.156553570269781,0.0,0,7.5,variable,0.0
s33-112-10,u010,2025-06-11,15.993884757156014,15.993884757156014,2.613363179948963,0.0,0,7.5,regular,0.0
s33-112-21,u021,2025-06-11,22.285152868210737,22.285152868210737,4.6887590697666175,0.0,0,6.75,regular,0.0
s33-112-4,u004,2025-06-11,18.084294729098357,18.084294729098357,4.140821051621524,0.0,0,6.75,variable,0.0
s33-112-44,u044,2025-06-11,15.746152954217777,15.746152954217777,2.164615093766665,0.0,0,8.75,variable,0.0
s33-113-58,u058,2025-06-12,13.75488274606567,13.75488274606567,1.7941151407911735,0.0,0,4.5,new,0.0
s33-113-5,u005,2025-06-12,17.713909203140517,17.713909203140517,2.310509896061806,0.0,0,5.25,variable,0.0
s33-113-6,u006,2025-06-12,21.916045606478345,9.77204560647834,1.2746146443232615,0.5541145614521927,0,4.25,variable,0.0
s33-113-0,u000,2025-06-12,28.89758460534113,28.89758460534113,3.769250165914059,0.0,0,6.5,regular,0.0
s33-113-12,u012,2025-06-12,17.15907599393868,17.15907599393868,2.2381403470354795,0.0,0,5.75,variable,0.0
s33-113-55,u055,2025-06-12,18.647057482313095,18.647057482313095,2.4322248889973594,0.0,0,5.5,new,0.0
s33-113-27,u027,2025-06-12,18.7107522716443,18.7107522716443,2.4405329049970814,0.0,0,6.25,regular,0.0
s33-113-23,u023,2025-06-12,13.751284276694832,13.751284276694832,1.7936457752210646,0.0,0,7.0,variable,0.0
s33-113-32,u032,2025-06-12,22.124192996670438,19.734000000000005,3.762,0.10803526244008732,0,6.0,regular,0.0
s33-113-38,u038,2025-06-12,23.64186961803117,23.64186961803117,3.083722124091021,0.0,0,7.25,regular,0.0
s33-113-54,u054,2025-06-12,15.670573378951282,8.080573378951279,2.241987832037123,0.4843473060274165,0,5.5,new,0.0
s33-113-16,u016,2025-06-12,22.95313370510591,22.95313370510591,3.9789490082418246,0.0,0,7.0,regular,0.0
s33-113-49,u049,2025-06-12,24.13022764472615,24.13022764472615,3.1474209971381923,0.0,0,7.25,variable,0.0
s33-113-53,u053,2025-06-12,20.658282113858213,15.836428621741584,3.550621124574989,0.23341018703980143,0,6.5,regular,0.0
s33-113-20,u020,2025-06-12,25.880363670240104,19.096350443157398,4.272828318672704,0.26212974877488526,0,7.25,variable,0.0
s33-113-8,u008,2025-06-12,18.035280794202354,18.035280794202354,2.352427929678567,0.0,0,7.25,regular,0.0
s33-113-10,u010,2025-06-12,13.722756496761367,13.722756496761367,1.7899247604471342,0.0,0,7.75,regular,0.0
s33-113-21,u021,2025-06-12,19.875247937104792,19.875247937104792,2.5924236439701893,0.0,0,8.0,regular,0.0
s33-113-29,u029,2025-06-12,27.45268705841462,14.059599739614482,4.209860835601889,0.4878607070521709,0,6.5,regular,0.0
s33-113-3,u003,2025-06-12,10.968406371953707,10.968406371953707,1.9691262182089269,0.0,0,7.0,regular,0.0
s33-113-56,u056,2025-06-12,11.786407954131489,11.786407954131489,3.3466899055082204,0.0,0,7.5,new,0.0
s33-113-57,u057,2025-06-12,13.983008410299346,13.983008410299346,2.646677342549663,0.0,0,8.0,new,0.0
s33-113-4,u004,2025-06-12,21.68738093059264,21.68738093059264,2.8287888170338213,0.0,0,9.25,variable,0.0
s33-113-18,u018,2025-06-12,22.006682063014882,22.006682063014882,2.870436790828027,0.0,0,9.75,variable,0.0
s33-113-11,u011,2025-06-12,19.480887821475633,19.480887821475633,2.5409853680185606,0.0,0,10.0,variable,0.0
s33-113-25,u025,2025-06-12,8.533774685480132,8.533774685480132,1.113101045932191,0.0,0,10.0,variable,0.0
s33-113-44,u044,2025-06-12,21.341364407732872,21.341364407732872,5.456656227095591,0.0,0,10.5,variable,0.0
s33-113-31,u031,2025-06-12,23.77699514346793,23.77699514346793,6.6653471926262515,0.0,0,10.5,variable,0.0
s33-113-46,u046,2025-06-12,15.26355063716419,15.26355063716419,4.680244772988322,0.0,0,10.25,variable,0.0
s33-114-45,u045,2025-06-13,12.564354996736139,9.558448837123608,1.2467541961465574,0.23924078557103645,0,3.5,variable,0.0
s33-114-14,u014,2025-06-13,11.392824089269723,11.392824089269723,1.4860205333830072,0.0,0,5.75,regular,0.0
s33-114-43,u043,2025-06-13,20.80887091228307,4.110870912283065,0.5362005537760519,0.8024462293215295,0,3.5,variable,0.0
s33-114-30,u030,2025-06-13,17.67400702810322,17.67400702810322,2.305305264535202,0.0,0,5.75,regular,0.0
s33-114-55,u055,2025-06-13,28.418240354831994,28.418240354831994,3.7067270028041714,0.0,0,7.25,new,0.0
s33-114-6,u006,2025-06-13,20.746366819444514,20.746366819444514,2.706047846014501,0.0,0,5.25,variable,0.0
s33-114-2,u002,2025-06-13,15.888511732943469,15.888511732943469,2.0724145738621913,0.0,0,7.0,variable,0.0
s33-114-28,u028,2025-06-13,20.261234607604436,20.261234607604436,2.6427697314266645,0.0,0,6.0,regular,0.0
s33-114-37,u037,2025-06-13,30.57665804581914,13.878658045819133,2.4042597451068426,0.5461028466544005,0,5.75,variable,0.0
s33-114-49,u049,2025-06-13,31.554190407411006,21.252000000000006,3.366,0.32649198963416803,0,6.25,variable,0.0
s33-114-41,u041,2025-06-13,17.339142391820882,17.339142391820882,2.2616272684983754,0.0,0,7.5,regular,0.0
s33-114-54,u054,2025-06-13,19.96238778555554,19.96238778555554,2.6037897111594175,0.0,0,6.0,new,0.0
s33-114-8,u008,2025-06-13,18.284081364434787,18.284081364434787,2.384880177969754,0.0,0,6.25,regular,0.0
s33-114-4,u004,2025-06-13,25.484873700256983,25.484873700256983,3.3241139609030834,0.0,0,7.25,variable,0.0
s33-114-18,u018,2025-06-13,24.090393840387474,18.01839384038747,3.8352252835288,0.25205067381755764,0,6.25,variable,0.0
s33-114-44,u044,2025-06-13,23.109986977084795,23.109986977084795,3.014346127445842,0.0,0,7.25,variable,0.0
s33-114-17,u017,2025-06-13,20.59344034777143,20.59344034777143,2.6861009149267074,0.0,0,7.25,regular,0.0
s33-114-29,u029,2025-06-13,27.509178653614775,27.509178653614775,4.812384343570033,0.0,0,6.75,regular,0.0
s33-114-20,u020,2025-06-13,20.451453058652127,20.451453058652127,2.6675808337372335,0.0,0,7.75,variable,0.0
s33-114-32,u032,2025-06-13,16.8499097779609,16.8499097779609,4.870814318864465,0.0,0,5.75,regular,0.0
s33-114-1,u001,2025-06-13,26.363799496811886,26.363799496811886,6.408756456105897,0.0,0,7.75,regular,0.0
s33-114-15,u015,2025-06-13,12.370694410636819,12.370694410636819,1.6135688361700198,0.0,0,8.25,variable,0.0
s33-114-47,u047,2025-06-13,12.474756957899135,12.474756957899135,3.7708555297497175,0.0,0,6.75,regular,0.0
s33-114-42,u042,2025-06-13,23.171149450777808,20.135149450777806,6.1903238414058,0.13102500618061008,0,6.5,variable,0.0
s33-114-5,u005,2025-06-13,12.491530430543243,12.491530430543243,1.6293300561578141,0.0,0,8.25,variable,0.0
