sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s44-110-32,u032,2025-06-09,19.136850861220616,19.136850861220616,2.4961109818983402,0.0,0,6.0,regular,0.0
s44-110-11,u011,2025-06-09,22.14729400477582,22.14729400477582,2.8887774788838017,0.0,0,6.5,variable,0.0
s44-110-28,u028,2025-06-09,15.703763918819586,11.101969403816774,1.448082965715231,0.293037678023672,0,4.75,variable,0.0
s44-110-47,u047,2025-06-09,29.13769078936548,29.13769078936548,3.8005683638302785,0.0,0,6.0,regular,0.0
s44-110-49,u049,2025-06-09,12.518488486443747,12.518488486443747,1.6328463243187492,0.0,0,7.25,variable,0.0
s44-110-56,u056,2025-06-09,23.716587477113357,23.716587477113357,3.0934679317973934,0.0,0,6.25,new,0.0
s44-110-18,u018,2025-06-09,14.920046911291584,14.920046911291584,1.9460930753858583,0.0,0,6.75,regular,0.0
s44-110-48,u048,2025-06-09,22.2813897048092,22.2813897048092,2.9062682223664167,0.0,0,6.5,regular,0.0
s44-110-3,u003,2025-06-09,11.873700221180009,11.873700221180009,1.5487435071104356,0.0,0,6.25,variable,0.0
s44-110-36,u036,2025-06-09,26.634539880519455,14.406400492765876,3.3640957164477223,0.4591083398702622,0,6.0,variable,0.0
s44-110-26,u026,2025-06-09,14.561899087158846,11.990719495926653,3.346006890773041,0.17656897468129984,0,5.5,regular,0.0
s44-110-27,u027,2025-06-09,17.186668373854054,17.186668373854054,2.241739353111398,0.0,0,6.75,regular,0.0
s44-110-59,u059,2025-06-09,12.594368023582534,12.594368023582534,1.6427436552498953,0.0,0,8.0,new,0.0
s44-110-24,u024,2025-06-09,27.186799507234127,27.186799507234127,3.546104283552276,0.0,0,7.25,variable,0.0
s44-110-16,u016,2025-06-09,23.289506004833633,23.289506004833633,4.146170350336669,0.0,0,7.0,regular,0.0
s44-110-22,u022,2025-06-09,24.71439812908228,24.71439812908228,3.2236171472716006,0.0,0,7.75,regular,0.0
s44-110-46,u046,2025-06-09,23.60566104781866,23.60566104781866,3.0789992671067807,0.0,0,8.0,regular,0.0
s44-110-5,u005,2025-06-09,15.672308022427544,15.672308022427544,4.356267737987208,0.0,0,6.5,regular,0.0
s44-110-10,u010,2025-06-09,17.70045506788872,17.70045506788872,2.3087550088550497,0.0,0,7.5,variable,0.0
s44-110-6,u006,2025-06-09,23.174415125488185,23.174415125488185,3.0227497989767187,0.0,0,7.75,variable,0.0
s44-110-38,u038,2025-06-09,21.09801213841318,21.09801213841318,5.862504383298331,0.0,0,7.5,regular,0.0
s44-110-19,u019,2025-06-09,11.92127324660669,11.92127324660669,1.5549486843400029,0.0,0,8.25,variable,0.0
s44-110-23,u023,2025-06-09,21.65104311906988,21.65104311906988,2.8240491024873746,0.0,0,9.0,variable,0.0
s44-110-35,u035,2025-06-09,19.44182067741695,19.44182067741695,4.2847498548477105,0.0,0,8.5,regular,0.0
s44-110-40,u040,2025-06-09,14.258376472263704,14.258376472263704,1.8597882355126565,0.0,0,10.0,variable,0.0
s44-110-45,u045,2025-06-09,20.24282262686755,20.24282262686755,6.303920421804635,0.0,0,10.0,variable,0.0
s44-111-21,u021,2025-06-10,31.490643498485348,31.490643498485348,4.10747523893287,0.0,0,5.25,variable,0.0
s44-111-24,u024,2025-06-10,28.29579948128857,8.700039997467396,1.1347878257566169,0.6925324551009575,0,3.75,variable,0.19528691829127032
s44-111-6,u006,2025-06-10,16.124431061540946,16.124431061540946,2.103186660200992,0.0,0,5.0,variable,0.0
s44-111-18,u018,2025-06-10,14.910939972203431,14.910939972203431,1.9449052137656644,0.0,0,6.5,regular,0.0
s44-111-31,u031,2025-06-10,24.589151213327362,24.589151213327362,3.207280593042698,0.0,0,5.5,regular,0.0
s44-111-47,u047,2025-06-10,29.310051616089126,29.310051616089126,3.823050210794232,0.0,0,6.0,regular,0.0
s44-111-42,u042,2025-06-10,12.245996777486527,12.245996777486527,1.5973039274982421,0.0,0,5.75,regular,0.0
s44-111-48,u048,2025-06-10,21.3903492161185,21.3903492161185,2.7900455499284993,0.0,0,6.75,regular,0.0
s44-111-53,u053,2025-06-10,19.02054228562084,19.02054228562084,2.480940298124457,0.0,0,6.0,regular,0.0
s44-111-30,u030,2025-06-10,11.801273835299565,11.801273835299565,1.5392965872129865,0.0,0,6.25,variable,0.0
s44-111-29,u029,2025-06-10,11.742998347798025,11.742998347798025,1.5316954366693074,0.0,0,6.25,regular,0.0
s44-111-32,u032,2025-06-10,17.012317380510424,17.012317380510424,2.5774947979925282,0.0,0,6.25,regular,0.0
s44-111-8,u008,2025-06-10,21.15901771691177,21.15901771691177,2.7598718761189254,0.0,0,7.25,regular,0.0
s44-111-14,u014,2025-06-10,14.883878215121964,14.883878215121964,1.9413754193637338,0.0,0,6.75,variable,0.0
s44-111-36,u036,2025-06-10,26.248431268180784,24.591600000000003,5.2866,0.06312115384164874,0,6.75,variable,0.0
s44-111-26,u026,2025-06-10,14.05321851201573,14.05321851201573,2.815209235489328,0.0,0,6.5,regular,0.0
s44-111-58,u058,2025-06-10,6.0,6.0,0.7826086956521738,0.0,0,8.0,new,0.0
s44-111-33,u033,2025-06-10,21.48243948084442,21.48243948084442,5.520143308971004,0.0,0,7.0,variable,0.0
s44-111-39,u039,2025-06-10,27.949987816310617,27.766576603575047,6.591727383075005,0.006562121384129482,0,7.5,variable,0.0
s44-111-19,u019,2025-06-10,13.369549209147266,13.369549209147266,1.743854244671382,0.0,0,8.25,variable,0.0
s44-111-46,u046,2025-06-10,19.167823125879835,19.167823125879835,4.257312987814017,0.0,0,7.75,regular,0.0
s44-111-51,u051,2025-06-10,11.75649095924302,11.75649095924302,1.619451214674204,0.0,0,8.25,regular,0.0
s44-111-55,u055,2025-06-10,26.060184730519317,22.954083387408822,6.855010876618542,0.1191895366525515,0,7.5,new,0.0
s44-111-23,u023,2025-06-10,21.162364734163457,21.162364734163457,2.760308443586537,0.0,0,9.0,variable,0.0
s44-111-57,u057,2025-06-10,21.814047952636795,21.814047952636795,3.4898765062946056,0.0,0,9.0,new,0.0
s44-111-17,u017,2025-06-10,15.897073453129515,15.897073453129515,2.0735313199734144,0.0,0,9.75,variable,0.0
s44-111-50,u050,2025-06-10,23.256561678772776,23.256561678772776,3.506558396951243,0.0,0,9.5,variable,0.0
s44-111-45,u045,2025-06-10,23.349244293556982,23.349244293556982,6.128884008768579,0.0,0,9.0,variable,0.0
s44-112-45,u045,2025-06-11,23.469091162924652,0.0,0.0,1.0,0,2.5,variable,0.3531918260226182
s44-112-28,u028,2025-06-11,18.989281136105618,18.989281136105618,2.4768627568833406,0.0,0,3.5,variable,0.0
s44-112-56,u056,2025-06-11,20.99948605286193,20.99948605286193,2.7390633981993813,0.0,0,5.0,new,0.0
s44-112-47,u047,2025-06-11,31.457871308355635,31.457871308355635,4.1032006054376895,0.0,0,5.5,regular,0.0
