sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s55-110-28,u028,2025-06-09,12.452547044267373,10.065041189703845,1.3128314595265882,0.1917283143822882,0,5.5,regular,0.0
s55-110-37,u037,2025-06-09,14.528778412347183,12.499682886209392,1.6303934199403556,0.1396604358982706,0,5.75,variable,0.0
s55-110-39,u039,2025-06-09,23.029701584350804,8.184257875862606,1.0675118968516442,0.6446216271675882,0,6.25,regular,0.0
s55-110-27,u027,2025-06-09,22.8266991993505,17.97039269905492,2.3439642650941193,0.21274676894299982,0,5.75,variable,0.0
s55-110-45,u045,2025-06-09,18.440964752108368,18.440964752108368,2.452544835707574,0.0,0,8.0,regular,0.0
s55-110-7,u007,2025-06-09,14.603706875153096,13.085706875153097,2.003831331541708,0.10394621125837167,0,7.25,variable,0.0
s55-110-29,u029,2025-06-09,15.608119398680422,15.381162123257194,2.8528338534942193,0.014540975092900421,0,6.75,regular,0.0
s55-110-51,u051,2025-06-09,27.824898121098343,9.108,1.4849999999999999,0.6726672651105299,0,7.25,regular,0.0
s55-110-6,u006,2025-06-09,29.332341482181455,1.518,0.19799999999999998,0.9482482501125203,0,6.25,variable,0.0
s55-110-38,u038,2025-06-09,21.78835285096029,13.514510126383518,2.8169668747197862,0.37973695309474087,0,5.0,variable,0.0
s55-110-43,u043,2025-06-09,17.741618422753714,16.223618422753713,2.7101241420983095,0.08556152904591607,0,6.75,regular,0.0
s55-110-53,u053,2025-06-09,14.567377595889255,13.049377595889258,2.2960927298985983,0.10420544054740222,0,6.0,regular,0.0
s55-110-36,u036,2025-06-09,8.981256086173838,8.070456086173838,1.7654681851531089,0.10141120476479093,0,7.25,regular,0.0
s55-110-11,u011,2025-06-09,16.835662568480252,15.317662568480253,2.888955987193076,0.09016574155162749,0,7.5,variable,0.0
s55-110-2,u002,2025-06-09,21.656379992728905,20.138379992728908,4.357958135766277,0.07009481734757439,0,7.75,variable,0.0
s55-110-41,u041,2025-06-09,20.40855317549126,17.839627113976235,3.2436732384093885,0.12587497209748622,0,7.5,regular,0.0
s55-110-25,u025,2025-06-09,12.818528437781339,12.818528437781339,2.030149923177061,0.0,0,9.25,variable,0.0
s55-110-30,u030,2025-06-09,12.504258744871283,12.504258744871283,2.224990271070167,0.0,0,8.75,variable,0.0
s55-110-0,u000,2025-06-09,23.436141078642038,20.400141078642037,5.333887966779396,0.12954351101627337,0,9.25,variable,0.0
s55-110-21,u021,2025-06-09,14.551614099081549,14.551614099081549,2.789036621619332,0.0,0,7.0,regular,0.0
s55-110-13,u013,2025-06-09,19.27450578800463,14.720505788004633,3.3034152199987687,0.23627064943134113,0,7.5,variable,0.0
s55-110-32,u032,2025-06-09,14.537231175996556,11.501231175996557,2.859401470433659,0.20884307081894338,0,9.0,variable,0.0
s55-110-24,u024,2025-06-09,13.398019155550434,10.362019155550435,2.199816833202997,0.2266006612434397,0,9.25,variable,0.0
s55-110-57,u057,2025-06-09,22.704039624684253,22.704039624684253,4.149396472784901,0.0,0,10.0,new,0.0
s55-111-2,u002,2025-06-10,16.919757937451703,11.787663752266289,1.5375213589912544,0.3033195985520324,0,5.25,variable,0.0
s55-111-37,u037,2025-06-10,9.090700300303919,5.493757937983533,0.7165771223456782,0.39567274725800095,0,4.25,variable,0.0
s55-111-11,u011,2025-06-10,15.263380943854054,13.745380943854054,1.7928757752853106,0.09945371904061906,0,5.75,variable,0.0
s55-111-3,u003,2025-06-10,20.75451351115093,19.23651351115093,2.5091104579762074,0.07314071703894254,0,6.5,regular,0.0
s55-111-24,u024,2025-06-10,9.98830565146839,5.275744209599835,0.6881405490782393,0.4718078927806697,0,6.5,variable,0.0
s55-111-6,u006,2025-06-10,24.81743037740683,22.41799073882927,2.924085748542947,0.09668364540923413,0,7.75,variable,0.0
s55-111-19,u019,2025-06-10,12.775534927318752,12.775534927318752,1.9633741209546192,0.0,0,6.5,regular,0.0
s55-111-26,u026,2025-06-10,12.999399285932181,9.963399285932182,1.5965738199041972,0.23354925356324185,0,6.0,variable,0.0
s55-111-36,u036,2025-06-10,19.35173602274384,19.35173602274384,2.524139481227457,0.0,0,8.25,regular,0.0
s55-111-58,u058,2025-06-10,23.158156677801067,13.475574659501552,3.2426836512393327,0.4181067670027917,0,6.5,new,0.0
s55-111-9,u009,2025-06-10,25.588928719872854,0.0,0.0,1.0,0,6.5,regular,0.0
s55-111-46,u046,2025-06-10,24.02368618584167,6.146476178571804,1.232085710403849,0.7441493311632491,0,8.0,variable,0.0
s55-111-10,u010,2025-06-10,12.509864019331356,12.509864019331356,2.297303484564572,0.0,0,8.0,variable,0.0
s55-111-51,u051,2025-06-10,25.648541285326708,24.13054128532671,4.038461906781744,0.05918465237898074,0,7.5,regular,0.0
s55-111-54,u054,2025-06-10,9.561166410193827,9.561166410193827,1.5441086621991946,0.0,0,8.0,new,0.0
s55-111-56,u056,2025-06-10,13.292887182475548,11.774887182475547,2.9020548498881147,0.11419641039316353,0,7.25,new,0.0
s55-111-39,u039,2025-06-10,19.452322710360864,19.452322710360864,4.173001168164228,0.0,0,7.0,regular,0.0
s55-111-49,u049,2025-06-10,24.52313088986051,8.500800000000002,2.178,0.6533558443993464,0,8.0,regular,0.0
