sid,user,day,requested,delivered,cost,shortfall,excess,dwell_hours,cohort,individual_unavoidable
s55-110-28,u028,2025-06-09,12.452547044267373,12.452547044267373,1.6242452666435698,0.0,0,5.5,regular,0.0
s55-110-37,u037,2025-06-09,14.528778412347183,14.528778412347183,1.8950580537844148,0.0,0,5.75,variable,0.0
s55-110-39,u039,2025-06-09,23.029701584350804,23.029701584350804,3.0038741196979295,0.0,0,6.25,regular,0.0
s55-110-27,u027,2025-06-09,22.8266991993505,15.2366991993505,1.987395547741369,0.33250536723311985,0,5.75,variable,0.0
s55-110-45,u045,2025-06-09,18.440964752108368,18.440964752108368,2.4053432285358736,0.0,0,8.0,regular,0.0
s55-110-7,u007,2025-06-09,14.603706875153096,12.225780996468952,1.5946670864959498,0.16283029363797852,0,7.25,variable,0.0
s55-110-29,u029,2025-06-09,15.608119398680422,15.608119398680422,2.035841660697446,0.0,0,6.75,regular,0.0
s55-110-51,u051,2025-06-09,27.824898121098343,24.78889812109834,3.5303345375345656,0.10911091162982345,0,7.25,regular,0.0
s55-110-6,u006,2025-06-09,29.332341482181455,21.742341482181455,2.8359575846323626,0.2587587494373984,0,6.25,variable,0.0
s55-110-38,u038,2025-06-09,21.78835285096029,14.198352850960287,1.8519590675165585,0.34835125224555397,0,5.0,variable,0.0
s55-110-43,u043,2025-06-09,17.741618422753714,17.741618422753714,2.3141241420983096,0.0,0,6.75,regular,0.0
s55-110-53,u053,2025-06-09,14.567377595889255,14.567377595889255,1.900092729898598,0.0,0,6.0,regular,0.0
s55-110-36,u036,2025-06-09,8.981256086173838,8.981256086173838,1.171468185153109,0.0,0,7.25,regular,0.0
s55-110-11,u011,2025-06-09,16.835662568480252,12.281662568480252,1.898955987193076,0.2704972246548826,0,7.5,variable,0.0
s55-110-2,u002,2025-06-09,21.656379992728905,17.102379992728906,2.2830615845396047,0.2102844520427235,0,7.75,variable,0.0
s55-110-41,u041,2025-06-09,20.40855317549126,20.40855317549126,2.9247144485756653,0.0,0,7.5,regular,0.0
s55-110-25,u025,2025-06-09,12.818528437781339,12.818528437781339,1.6719819701453917,0.0,0,9.25,variable,0.0
s55-110-30,u030,2025-06-09,12.504258744871283,12.504258744871283,1.6309902710701671,0.0,0,8.75,variable,0.0
s55-110-0,u000,2025-06-09,23.436141078642038,20.40014107864204,3.3852199169484893,0.12954351101627315,0,9.25,variable,0.0
s55-110-21,u021,2025-06-09,14.551614099081549,11.51561409908155,1.5020366216193322,0.20863664878191224,0,7.0,regular,0.0
s55-110-13,u013,2025-06-09,19.27450578800463,14.720505788004631,1.9232176637391594,0.23627064943134124,0,7.5,variable,0.0
s55-110-32,u032,2025-06-09,14.537231175996556,14.537231175996556,1.8961605881734633,0.0,0,9.0,variable,0.0
s55-110-24,u024,2025-06-09,13.398019155550434,10.362019155550435,1.3515677159413608,0.2266006612434397,0,9.25,variable,0.0
s55-110-57,u057,2025-06-09,22.704039624684253,22.704039624684253,3.245491181962254,0.0,0,10.0,new,0.0
s55-111-2,u002,2025-06-10,16.919757937451703,9.329757937451703,1.2169249483632656,0.44858797791661165,0,5.25,variable,0.0
s55-111-37,u037,2025-06-10,9.090700300303919,6.054700300303919,0.7897435174309458,0.33396767022431706,0,4.25,variable,0.0
s55-111-11,u011,2025-06-10,15.263380943854054,10.709380943854056,1.3968757752853111,0.29836115712185707,0,5.75,variable,0.0
s55-111-3,u003,2025-06-10,20.75451351115093,20.75451351115093,2.707110457976207,0.0,0,6.5,regular,0.0
s55-111-24,u024,2025-06-10,9.98830565146839,8.4249,1.0988999999999998,0.15652360931090992,0,6.5,variable,0.0
s55-111-6,u006,2025-06-10,24.81743037740683,24.81743037740683,3.237056136183498,0.0,0,7.75,variable,0.0
s55-111-19,u019,2025-06-10,12.775534927318752,12.775534927318752,1.6663741209546195,0.0,0,6.5,regular,0.0
s55-111-26,u026,2025-06-10,12.999399285932181,12.999399285932181,1.6955738199041972,0.0,0,6.0,variable,0.0
s55-111-36,u036,2025-06-10,19.35173602274384,19.35173602274384,2.5241394812274565,0.0,0,8.25,regular,0.0
s55-111-58,u058,2025-06-10,23.158156677801067,18.60415667780107,2.7236291318870953,0.1966477756999273,0,6.5,new,0.0
s55-111-9,u009,2025-06-10,25.588928719872854,24.070928719872853,3.1396863547660234,0.059322530326214595,0,6.5,regular,0.0
s55-111-46,u046,2025-06-10,24.02368618584167,24.02368618584167,3.133524285109782,0.0,0,8.0,variable,0.0
s55-111-10,u010,2025-06-10,12.509864019331356,10.991864019331357,1.4337213938258289,0.1213442446420081,0,8.0,variable,0.0
s55-111-51,u051,2025-06-10,25.648541285326708,24.13054128532671,4.038461906781744,0.05918465237898074,0,7.5,regular,0.0
s55-111-54,u054,2025-06-10,9.561166410193827,9.561166410193827,1.493369252567039,0.0,0,8.0,new,0.0
s55-111-56,u056,2025-06-10,13.292887182475548,13.292887182475548,2.194204849888114,0.0,0,7.25,new,0.0
s55-111-39,u039,2025-06-10,19.452322710360864,17.246867553564684,2.8435914200301755,0.11337747114494923,0,7.0,regular,0.0
s55-111-49,u049,2025-06-10,24.52313088986051,24.52313088986051,4.386669246503543,0.0,0,8.0,regular,0.0
s55-111-31,u031,2025-06-10,13.55613602030932,13.55613602030932,2.536866509992824,0.0,0,7.75,regular,0.0
s55-111-55,u055,2025-06-10,25.041956295420405,22.005956295420408,4.464642440531066,0.12123653456560068,0,7.75,new,0.0
s55-111-20,u020,2025-06-10,21.09596785096676,18.985476151475574,3.0703664545402916,0.10004242111103079,0,8.0,regular,0.0
s55-111-13,u013,2025-06-10,22.02147615147558,18.98547615147558,2.4763664545402926,0.13786541733700108,0,9.5,variable,0.0
s55-111-30,u030,2025-06-10,18.144189337124725,15.259989337124724,1.9904333917988764,0.1589599814249434,0,8.25,variable,0.0
s55-111-22,u022,2025-06-10,23.77959168158698,20.74359168158698,3.5983592284322032,0.12767250340765246,0,9.0,variable,0.0
s55-111-23,u023,2025-06-10,18.361038558131447,15.32503855813145,2.741183256029949,0.16535012387169468,0,9.25,variable,0.0
s55-111-57,u057,2025-06-10,24.401571875665933,24.401571875665933,4.096034307282368,0.0,0,9.5,new,0.0
s55-112-42,u042,2025-06-11,12.106280153867832,1.518,0.19799999999999998,0.8746105343089211,0,1.0,variable,0.4984421372356844
s55-112-30,u030,2025-06-11,19.798652286493507,5.301752286493503,0.6915329069339352,0.7322165059633721,0,3.25,variable,0.0032654892645198608
s55-112-9,u009,2025-06-11,23.20256248302497,17.13056248302497,2.2344211934380387,0.26169523320720645,0,4.5,regular,0.0
s55-112-43,u043,2025-06-11,16.67753490597527,10.605534905975272,1.3833306399098177,0.3640825838010693,0,5.25,regular,0.0
s55-112-8,u008,2025-06-11,14.408761092494377,12.144000000000002,1.5839999999999999,0.15717944644623916,0,4.75,regular,0.0
s55-112-39,u039,2025-06-11,23.45102942276772,16.939846280448425,2.2095451670150115,0.2776502056663591,0,4.75,regular,0.0
s55-112-46,u046,2025-06-11,24.039337108930077,15.180000000000003,1.9799999999999998,0.3685350003115946,0,3.5,variable,0.11594900043623269
s55-112-16,u016,2025-06-11,23.196053051077836,15.606053051077833,2.035572137097108,0.32721083984791643,0,5.25,variable,0.0
s55-112-33,u033,2025-06-11,17.653406998110395,15.64961557733441,2.0412542057392704,0.11350734852430855,0,5.0,regular,0.0
s55-112-7,u007,2025-06-11,19.222784953890887,16.573266892170246,2.161730464196118,0.13783216469808934,0,6.0,variable,0.0
s55-112-21,u021,2025-06-11,14.027284422665591,12.50928442266559,1.631645794260729,0.10821766738736571,0,7.0,regular,0.0
s55-112-3,u003,2025-06-11,22.649912088002363,22.649912088002363,2.954336359304655,0.0,0,5.25,regular,0.0
s55-112-32,u032,2025-06-11,20.342002224463748,20.253863316958128,2.641808258733668,0.004332853105267209,0,6.75,variable,0.0
s55-112-36,u036,2025-06-11,10.182071876576895,10.182071876576895,1.328096331727421,0.0,0,6.0,regular,0.0
s55-112-45,u045,2025-06-11,21.173159035908064,17.708825928078316,2.3098468601841278,0.1636190944371836,0,5.5,regular,0.0
s55-112-12,u012,2025-06-11,15.90668725986616,15.90668725986616,2.269276622291484,0.0,0,6.75,variable,0.0
s55-112-29,u029,2025-06-11,21.428601094464252,19.147496003021953,2.4974994786550364,0.1064514235617362,0,6.5,regular,0.0
s55-112-5,u005,2025-06-11,14.03158162682294,14.03158162682294,1.8302062991508175,0.0,0,8.0,variable,0.0
s55-112-14,u014,2025-06-11,13.742591689727552,13.742591689727552,1.8192933332006114,0.0,0,7.5,regular,0.0
s55-112-28,u028,2025-06-11,17.852022046246034,17.852022046246034,2.5543115368193576,0.0,0,5.75,regular,0.0
s55-112-51,u051,2025-06-11,18.516980198538675,18.516980198538675,2.494803983060092,0.0,0,6.0,regular,0.0
s55-112-31,u031,2025-06-11,17.102959827373496,17.102959827373496,2.5278208470487162,0.0,0,6.25,regular,0.0
s55-112-41,u041,2025-06-11,18.828191853247144,15.792191853247145,2.059851111293105,0.16124756023645492,0,7.0,regular,0.0
s55-112-59,u059,2025-06-11,17.500352911684917,17.500352911684917,2.439636819027689,0.0,0,6.75,new,0.0
