policy,capacity_fraction,tail,delivered,cost_per_kwh
debt_share,0.2,0.43758027918787723,10420.264651310106,0.1864972018635761
debt_share,0.35,0.15734047096744966,13717.956474794066,0.15381686607033873
debt_share,0.5,0.08099333329521333,14382.66593237047,0.13427948438985657
debt_share,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
edf,0.2,0.5367536642773609,10632.830766389354,0.18814167898937592
edf,0.35,0.18176793065824473,13847.629944810498,0.1580100965672711
edf,0.5,0.08102177909338884,14397.999194112761,0.13850248644040947
edf,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
equal,0.2,0.5163252308927173,10332.154038052346,0.18533148918727882
equal,0.35,0.20530102431550734,13623.750061605368,0.1529795995685686
equal,0.5,0.09057211205263949,14364.629953233129,0.13426183023325816
equal,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
fcfs,0.2,0.5460331661677369,10477.505072405605,0.1864389551472481
fcfs,0.35,0.20707827591713163,13718.778741491193,0.15654157210369235
fcfs,0.5,0.09635833429675594,14359.142342407784,0.13831664193922893
fcfs,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
history,0.2,0.4295066532733885,10472.875376480768,0.18671808918899546
history,0.35,0.16271615957917618,13937.838873944405,0.15583886744147674
history,0.5,0.07610083225576034,14428.336084166172,0.131904647016734
history,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
laxity,0.2,0.516204470540995,10696.708718256454,0.19015916876686906
laxity,0.35,0.18978211483139845,13905.559526276611,0.1558815993108124
laxity,0.5,0.07811319607673305,14423.428068254285,0.13364963197945817
laxity,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
maxmin,0.2,0.4631888862629722,10284.539600281896,0.1850524757031839
maxmin,0.35,0.1980087387868544,13497.381149069279,0.14995733728100963
maxmin,0.5,0.09264477847776972,14344.184670078743,0.13142845142996112
maxmin,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
pf_mpc,0.2,0.49491719992479294,10632.788251602386,0.1887450944174609
pf_mpc,0.35,0.18828961880371672,13909.284067442792,0.1555759417954089
pf_mpc,0.5,0.0791923105932082,14423.917169140444,0.13191556003669963
pf_mpc,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
point,0.2,0.6993915910013205,9536.126509970945,0.1854392253646359
point,0.35,0.2975419402397151,12390.1741359468,0.15310310227558638
point,0.5,0.2060954838405855,13663.543202533037,0.1333975382465838
point,1.0,0.25344801981926207,13698.742781471485,0.13064083800737417
point_history,0.2,0.49045239242341154,9572.053596665524,0.18609768045019262
point_history,0.35,0.2902788850727097,12392.4737572749,0.1531096387418294
point_history,0.5,0.20059752710129763,13660.187680499283,0.13336972563002272
point_history,1.0,0.2535279617664727,13698.439181471485,0.1306408416343266
stochastic,0.2,0.6430282513988231,10442.911403434859,0.1861790136384894
stochastic,0.35,0.18911498928782183,13896.900043122263,0.15545282801115687
stochastic,0.5,0.07919231059320814,14423.917169140444,0.13191556003669963
stochastic,1.0,0.051470138362796826,14527.756936762817,0.13095547803712365
