seed,policy,fulfillment_threshold,repeated_users,fraction_users_failing_half
11,debt_share,0.8,60,0.0
11,debt_share,0.9,60,0.05
11,debt_share,0.95,60,0.06666666666666667
11,edf,0.8,60,0.0
11,edf,0.9,60,0.0
11,edf,0.95,60,0.016666666666666666
11,equal,0.8,60,0.016666666666666666
11,equal,0.9,60,0.08333333333333333
11,equal,0.95,60,0.11666666666666667
11,fcfs,0.8,60,0.0
11,fcfs,0.9,60,0.0
11,fcfs,0.95,60,0.016666666666666666
11,history,0.8,60,0.0
11,history,0.9,60,0.0
11,history,0.95,60,0.0
11,laxity,0.8,60,0.0
11,laxity,0.9,60,0.016666666666666666
11,laxity,0.95,60,0.016666666666666666
11,maxmin,0.8,60,0.0
11,maxmin,0.9,60,0.13333333333333333
11,maxmin,0.95,60,0.18333333333333332
11,pf_mpc,0.8,60,0.0
11,pf_mpc,0.9,60,0.0
11,pf_mpc,0.95,60,0.016666666666666666
11,point,0.8,60,0.2
11,point,0.9,60,0.6166666666666667
11,point,0.95,60,0.8333333333333334
11,point_history,0.8,60,0.16666666666666666
11,point_history,0.9,60,0.7333333333333333
11,point_history,0.95,60,0.8666666666666667
11,stochastic,0.8,60,0.0
11,stochastic,0.9,60,0.0
11,stochastic,0.95,60,0.03333333333333333
22,debt_share,0.8,60,0.016666666666666666
22,debt_share,0.9,60,0.03333333333333333
22,debt_share,0.95,60,0.06666666666666667
22,edf,0.8,60,0.016666666666666666
22,edf,0.9,60,0.03333333333333333
22,edf,0.95,60,0.03333333333333333
22,equal,0.8,60,0.016666666666666666
22,equal,0.9,60,0.08333333333333333
22,equal,0.95,60,0.15
22,fcfs,0.8,60,0.016666666666666666
22,fcfs,0.9,60,0.016666666666666666
22,fcfs,0.95,60,0.03333333333333333
22,history,0.8,60,0.0
22,history,0.9,60,0.0
22,history,0.95,60,0.0
22,laxity,0.8,60,0.03333333333333333
22,laxity,0.9,60,0.03333333333333333
22,laxity,0.95,60,0.05
22,maxmin,0.8,60,0.06666666666666667
22,maxmin,0.9,60,0.13333333333333333
22,maxmin,0.95,60,0.26666666666666666
22,pf_mpc,0.8,60,0.016666666666666666
22,pf_mpc,0.9,60,0.016666666666666666
22,pf_mpc,0.95,60,0.03333333333333333
22,point,0.8,60,0.2833333333333333
22,point,0.9,60,0.7
22,point,0.95,60,0.9
22,point_history,0.8,60,0.18333333333333332
22,point_history,0.9,60,0.7
22,point_history,0.95,60,0.9833333333333333
22,stochastic,0.8,60,0.016666666666666666
22,stochastic,0.9,60,0.05
22,stochastic,0.95,60,0.05
33,debt_share,0.8,60,0.03333333333333333
33,debt_share,0.9,60,0.16666666666666666
33,debt_share,0.95,60,0.18333333333333332
