seed,model,lead_minutes,cohort,sessions,events,brier,logloss
11,empirical,30,new,79,0,4.052265517832595e-05,0.006386088466525299
11,empirical,30,regular,343,0,4.052265517832595e-05,0.0063860884665253
11,empirical,30,variable,350,1,0.002861289850945521,0.020815913003951334
11,empirical,60,new,79,0,0.0001929012345678,0.0139862419747398
11,empirical,60,regular,343,0,0.00019290123456779996,0.013986241974739801
11,empirical,60,variable,350,6,0.01685956790123447,0.08706075415259099
11,empirical,120,new,79,1,0.012959614831039124,0.07704942418009132
11,empirical,120,regular,343,0,0.0011657798568244,0.0347400257021658
11,empirical,120,variable,350,16,0.04375837244941699,0.18753739620530258
11,hazard,30,new,79,0,1.6447468750314796e-05,0.003515655463842385
11,hazard,30,regular,343,0,4.201483134353475e-05,0.004761698710354843
11,hazard,30,variable,350,1,0.002876063121788883,0.023631082946690404
11,hazard,60,new,79,0,9.776447736945502e-05,0.008606686128206907
11,hazard,60,regular,343,0,0.0002472169187054865,0.011653841121984698
11,hazard,60,variable,350,6,0.016791729484241184,0.08753395893110713
11,hazard,120,new,79,1,0.012518152926710378,0.06652452583341745
11,hazard,120,regular,343,0,0.0023490858073045877,0.03710487181891181
11,hazard,120,variable,350,16,0.042214309161975404,0.17106201802488843
11,hazard_cal,30,new,79,0,7.769600706648896e-06,0.002377447647476236
11,hazard_cal,30,regular,343,0,2.192438061743178e-05,0.0033363003336107666
11,hazard_cal,30,variable,350,1,0.0028658901192820502,0.02383017584557005
11,hazard_cal,60,new,79,0,4.7669684485416115e-05,0.0059064925404156395
11,hazard_cal,60,regular,343,0,0.00013340042009613089,0.008286623066969583
11,hazard_cal,60,variable,350,6,0.016861316483612793,0.09117574947319723
11,hazard_cal,120,new,79,1,0.012360506648441651,0.06273699240267235
11,hazard_cal,120,regular,343,0,0.0013805948869846571,0.027367175973790358
11,hazard_cal,120,variable,350,16,0.04280644495005178,0.17774672511194237
22,empirical,30,new,71,0,1.4376987618538084e-06,0.001199760191904
22,empirical,30,regular,323,0,1.4376987618538084e-06,0.001199760191904
22,empirical,30,variable,353,2,0.005653573214145581,0.039301933801914476
22,empirical,60,new,71,0,4.349038754607771e-05,0.0066165654921291
22,empirical,60,regular,323,0,4.349038754607771e-05,0.0066165654921291
22,empirical,60,variable,353,2,0.00563448501394128,0.03502941956934269
22,empirical,120,new,71,1,0.013897034161099466,0.07436359218552928
22,empirical,120,regular,323,0,0.0003022761646797,0.0175390041748623
22,empirical,120,variable,353,11,0.030380196830979526,0.14326139294633797
22,hazard,30,new,71,0,4.460141062146691e-06,0.0019249025619516998
22,hazard,30,regular,323,0,1.1586573215585262e-05,0.0028021921495288106
22,hazard,30,variable,353,2,0.005654440439164693,0.03931478657467669
22,hazard,60,new,71,0,3.0091965550653253e-05,0.00501060607160868
22,hazard,60,regular,323,0,7.780083140257646e-05,0.007292972516726516
22,hazard,60,variable,353,2,0.0056466180687242675,0.0358383339477864
22,hazard,120,new,71,1,0.014036127879897612,0.07669845316191237
22,hazard,120,regular,323,0,0.0009656493662278566,0.02616370941145444
22,hazard,120,variable,353,11,0.030292564976246068,0.14127594492899462
22,hazard_cal,30,new,71,0,7.930498395238142e-06,0.0025797215176925335
22,hazard_cal,30,regular,323,0,1.9797689965208648e-05,0.0037005371824075156
22,hazard_cal,30,variable,353,2,0.005651369384560286,0.037986701619608446
22,hazard_cal,60,new,71,0,5.251558115783996e-05,0.006656985103370077
22,hazard_cal,60,regular,323,0,0.00013033418932795264,0.009547280950544903
22,hazard_cal,60,variable,353,2,0.0056464265889750315,0.03520906200563817
