seed,model,lead_minutes,sessions,events,brier,logloss
11,empirical,30,772,1,0.0013193678864199302,0.01292810736302674
11,empirical,60,772,6,0.007749032495362276,0.047115878324801866
11,empirical,120,772,17,0.021682775155231617,0.10834303367606991
11,hazard,30,772,1,0.0013242649349847362,0.013188961749529663
11,hazard,60,772,6,0.0077326737257935015,0.045743628672094035
11,hazard,120,772,17,0.02146331440389506,0.10084729907181046
11,hazard_cal,30,772,1,0.0013098386046066345,0.012529444202757296
11,hazard_cal,60,772,6,0.007708527225947926,0.045622327640262215
11,hazard_cal,120,772,17,0.021285336533653824,0.09916388283419825
22,empirical,30,747,2,0.0026723933037557704,0.019205205016982578
22,empirical,60,747,2,0.0026855534439282815,0.02004325557145493
22,empirical,120,747,12,0.015807943919632365,0.08235098407457885
22,hazard,30,747,2,0.0026774787258221993,0.019973086756435405
22,hazard,60,747,2,0.0027048492320706765,0.02056534810917735
22,hazard,120,747,12,0.016066593388727162,0.0853639583324373
22,hazard_cal,30,747,2,0.002679907780447932,0.01979617056143986
22,hazard_cal,60,747,2,0.0027296052681704437,0.021399218979056965
22,hazard_cal,120,747,12,0.01624018065208845,0.08635799540349755
33,empirical,30,769,0,8.401596303297314e-06,0.0029027596579613
33,empirical,60,769,3,0.0038864936691677533,0.025593432101993576
33,empirical,120,769,16,0.02037454360021504,0.10119103412802251
33,hazard,30,769,0,4.830024912578347e-06,0.0014900503820242934
33,hazard,60,769,3,0.0038629646110594088,0.024089657728313906
33,hazard,120,769,16,0.02052950738106191,0.10427511297537832
33,hazard_cal,30,769,0,4.967796465348474e-06,0.0014916746435987458
33,hazard_cal,60,769,3,0.003862627022248909,0.024095796577711902
33,hazard_cal,120,769,16,0.020546899061699063,0.1043850623070243
44,empirical,30,742,2,0.002690499385513711,0.019372194836687822
44,empirical,60,742,3,0.004026780652728268,0.026315653833370898
44,empirical,120,742,17,0.022404586927878854,0.10963258059387031
44,hazard,30,742,2,0.002694663572624912,0.0199599481963961
44,hazard,60,742,3,0.004049709938754318,0.027223790508557628
44,hazard,120,742,17,0.022755224116350687,0.11694871445766429
44,hazard_cal,30,742,2,0.002702247578681382,0.019729864403006038
44,hazard_cal,60,742,3,0.004110889684771093,0.028820435308672347
44,hazard_cal,120,742,17,0.023194412637719583,0.11648618076250984
55,empirical,30,739,0,1.3775926293283057e-06,0.0011743982559415
55,empirical,60,739,4,0.005383937712859499,0.03369959211818132
55,empirical,120,739,15,0.019896454303250318,0.09949826612615699
55,hazard,30,739,0,5.324636950199357e-06,0.0017227399899809915
55,hazard,60,739,4,0.005413860130114008,0.03655406579378979
55,hazard,120,739,15,0.02020649472656647,0.109386116214192
55,hazard_cal,30,739,0,4.495044333418544e-06,0.0015661585306407115
55,hazard_cal,60,739,4,0.005411898753702535,0.03674472008628179
55,hazard_cal,120,739,15,0.020192476177766146,0.11004436725934215
