seed,capacity_fraction,offline_delivered
11,0.2,11574.023638608027
11,0.35,14588.607785578515
11,0.5,14622.75329950033
11,1.0,14622.75329950033
22,0.2,10368.362208302666
22,0.35,14143.589072591038
22,0.5,14182.190467815857
22,1.0,14182.190467815857
33,0.2,10981.887934787012
33,0.35,15135.722589465311
33,0.5,15219.591101821467
33,1.0,15219.591101821467
44,0.2,11338.72566975825
44,0.35,14486.79349474438
44,0.5,14507.27057335705
44,1.0,14507.27057335705
55,0.2,11680.116847934829
55,0.35,14095.64564551718
55,0.5,14106.979241318839
55,1.0,14106.979241318839
