policy,tail,mean_shortfall,delivered,cost_per_kwh,new_shortfall,repeat_failure,latency_p95
equal,0.20530102431550734,0.05737950224257906,13623.750061605368,0.1529795995685686,0.042235382172769294,0.09666666666666666,0.00017010799259878695
fcfs,0.20707827591713163,0.05595919909598113,13718.778741491193,0.15654157210369235,0.061806956689989534,0.02333333333333333,2.8336251853033896e-05
edf,0.18176793065824473,0.048391741582797285,13847.629944810498,0.1580100965672711,0.04735134400785653,0.02,2.947454806417226e-05
laxity,0.18978211483139845,0.053105790560481425,13905.559526276611,0.1558815993108124,0.049247264600047566,0.05333333333333333,0.00015691241482272737
maxmin,0.1980087387868544,0.07668706655471189,13497.381149069279,0.14995733728100963,0.07776231608961481,0.15999999999999998,0.0008056494095944798
debt_share,0.15734047096744966,0.05323259826971053,13717.956474794066,0.15381686607033873,0.04428831226233215,0.06,0.00017117123992647972
point,0.2975419402397151,0.15124878046510823,12390.1741359468,0.15310310227558638,0.15288725925582697,0.5866666666666667,0.02120516124472488
stochastic,0.18911498928782183,0.045826707942985656,13896.900043122263,0.15545282801115687,0.03820933376616454,0.03,0.035006023710593574
point_history,0.2902788850727097,0.1509702242688705,12392.4737572749,0.1531096387418294,0.14659841983319544,0.6166666666666666,0.026538263204274697
pf_mpc,0.18828961880371672,0.04579098882894238,13909.284067442792,0.1555759417954089,0.03788201295050889,0.019999999999999997,0.05632509488961659
history,0.16271615957917618,0.043562082977311546,13937.838873944405,0.15583886744147674,0.038483017770854125,0.006666666666666666,0.02403299508179771
