model,lead_minutes,bin,predicted,observed,count
empirical,30,"(0.001, 0.002]",0.001178791273446925,0.0017953321364452424,2228
empirical,30,"(0.002, 0.005]",0.0028985507246376,0.0,769
empirical,30,"(0.005, 0.01]",0.0063657407407407,0.0012953367875647669,772
empirical,60,"(0.002, 0.005]",0.004469948676272079,0.0044444444444444444,2250
empirical,60,"(0.005, 0.01]",0.0065947242206234,0.002677376171352075,747
empirical,60,"(0.01, 0.02]",0.0138888888888888,0.007772020725388601,772
empirical,120,"(0.01, 0.02]",0.018196219969045527,0.02002002002002002,2997
empirical,120,"(0.02, 0.04]",0.0341435185185184,0.022020725388601035,772
hazard,30,"(-0.001, 0.001]",0.0006413787676331792,0.000700770847932726,1427
hazard,30,"(0.001, 0.002]",0.0014112293434584674,0.0038461538461538464,1040
hazard,30,"(0.002, 0.005]",0.0032508627474188397,0.0,895
hazard,30,"(0.005, 0.01]",0.006701881362829408,0.0,335
hazard,30,"(0.01, 0.02]",0.012805017458060517,0.0,71
hazard,30,"(0.02, 0.04]",0.0256321308733825,0.0,1
hazard,60,"(-0.001, 0.001]",0.0007632526653300444,0.004761904761904762,210
hazard,60,"(0.001, 0.002]",0.0015446126669980264,0.001349527665317139,741
hazard,60,"(0.002, 0.005]",0.0031757459137708058,0.0061643835616438354,1460
hazard,60,"(0.005, 0.01]",0.007214168450341897,0.004155124653739612,722
hazard,60,"(0.01, 0.02]",0.013717990209345332,0.00199203187250996,502
hazard,60,"(0.02, 0.04]",0.02610393957064667,0.023809523809523808,126
hazard,60,"(0.04, 0.08]",0.04425057148210301,0.0,8
hazard,120,"(0.001, 0.002]",0.0017715538654558376,0.0,16
hazard,120,"(0.002, 0.005]",0.0037230785526531163,0.012077294685990338,414
hazard,120,"(0.005, 0.01]",0.007445026491613481,0.016713091922005572,1077
hazard,120,"(0.01, 0.02]",0.013948876617145244,0.0244140625,1024
hazard,120,"(0.02, 0.04]",0.028646373214264914,0.02066115702479339,726
hazard,120,"(0.04, 0.08]",0.05372062875154654,0.022727272727272728,440
hazard,120,"(0.08, 0.2]",0.09877309891416501,0.05555555555555555,72
hazard_cal,30,"(-0.001, 0.001]",0.0006181000767308248,0.0008203445447087777,1219
hazard_cal,30,"(0.001, 0.002]",0.001441358485601277,0.0019860973187686196,1007
hazard_cal,30,"(0.002, 0.005]",0.003123391933645843,0.0019175455417066154,1043
hazard_cal,30,"(0.005, 0.01]",0.006769213352927382,0.0,440
hazard_cal,30,"(0.01, 0.02]",0.011803223445641999,0.0,60
hazard_cal,60,"(-0.001, 0.001]",0.0007488866636826512,0.004166666666666667,240
hazard_cal,60,"(0.001, 0.002]",0.0015436616327550025,0.0033112582781456954,604
hazard_cal,60,"(0.002, 0.005]",0.0032807748684948834,0.005283018867924529,1325
hazard_cal,60,"(0.005, 0.01]",0.007013733933827462,0.003416856492027335,878
hazard_cal,60,"(0.01, 0.02]",0.013991806002941748,0.005366726296958855,559
hazard_cal,60,"(0.02, 0.04]",0.024854715440900295,0.012422360248447204,161
hazard_cal,60,"(0.04, 0.08]",0.0475090181574966,0.0,2
hazard_cal,120,"(0.001, 0.002]",0.001807450299312731,0.0,29
hazard_cal,120,"(0.002, 0.005]",0.0036427732138140712,0.015037593984962405,399
hazard_cal,120,"(0.005, 0.01]",0.007407892700356768,0.015384615384615385,845
hazard_cal,120,"(0.01, 0.02]",0.014334027583282515,0.0221606648199446,1083
hazard_cal,120,"(0.02, 0.04]",0.027874925052925714,0.02608695652173913,805
hazard_cal,120,"(0.04, 0.08]",0.054479737889693326,0.023076923076923078,520
hazard_cal,120,"(0.08, 0.2]",0.09441627975342813,0.011363636363636364,88
