seed,policy,stratum,sessions,users,shortfall,individual_unavoidable,dimension
11,debt_share,new,79,6,0.02710786101535771,0.0012657265207900443,cohort
11,debt_share,regular,343,27,0.03416570568613275,0.0,cohort
11,debt_share,variable,351,27,0.07321131409310025,0.014883382419602364,cohort
11,edf,new,79,6,0.023211531089738866,0.0012657265207900443,cohort
11,edf,regular,343,27,0.018705400983690904,0.0,cohort
11,edf,variable,351,27,0.058555370342324234,0.014883382419602364,cohort
11,equal,new,79,6,0.02357870864637492,0.0012657265207900443,cohort
11,equal,regular,343,27,0.034282573792469906,0.0,cohort
11,equal,variable,351,27,0.08123105857906483,0.014883382419602364,cohort
11,fcfs,new,79,6,0.0461889966531417,0.0012657265207900443,cohort
11,fcfs,regular,343,27,0.028915110062743322,0.0,cohort
11,fcfs,variable,351,27,0.07030579899719831,0.014883382419602364,cohort
11,history,new,79,6,0.014256459725171727,0.0012657265207900443,cohort
11,history,regular,343,27,0.01046080188512896,0.0,cohort
11,history,variable,351,27,0.05761629022098425,0.014883382419602364,cohort
11,laxity,new,79,6,0.024588347303825267,0.0012657265207900443,cohort
11,laxity,regular,343,27,0.005571990810568985,0.0,cohort
11,laxity,variable,351,27,0.0804501247883249,0.014883382419602364,cohort
11,maxmin,new,79,6,0.067743510834158,0.0012657265207900443,cohort
11,maxmin,regular,343,27,0.04250025954794548,0.0,cohort
11,maxmin,variable,351,27,0.10436519071104447,0.014883382419602364,cohort
11,pf_mpc,new,79,6,0.01398671460813206,0.0012657265207900443,cohort
11,pf_mpc,regular,343,27,0.007877333592032914,0.0,cohort
11,pf_mpc,variable,351,27,0.0625000775800342,0.014883382419602364,cohort
11,point,new,79,6,0.15927297142739033,0.0012657265207900443,cohort
11,point,regular,343,27,0.10684498674924182,0.0,cohort
11,point,variable,351,27,0.19719513612390982,0.014883382419602364,cohort
11,point_history,new,79,6,0.1455537097123491,0.0012657265207900443,cohort
11,point_history,regular,343,27,0.10931028317526646,0.0,cohort
11,point_history,variable,351,27,0.1973024337951579,0.014883382419602364,cohort
11,stochastic,new,79,6,0.014101827136217819,0.0012657265207900443,cohort
11,stochastic,regular,343,27,0.00837711587213179,0.0,cohort
11,stochastic,variable,351,27,0.06308368268840701,0.014883382419602364,cohort
22,debt_share,new,71,6,0.05810777362227003,0.0037831327652341927,cohort
22,debt_share,regular,323,27,0.03953848375985261,0.0,cohort
22,debt_share,variable,354,27,0.0765862255370379,0.011877368167001214,cohort
22,edf,new,71,6,0.048350354280687395,0.0037831327652341927,cohort
22,edf,regular,323,27,0.012043605702703438,0.0,cohort
22,edf,variable,354,27,0.10533845322188953,0.011877368167001214,cohort
22,equal,new,71,6,0.056669134717312365,0.0037831327652341927,cohort
22,equal,regular,323,27,0.04246403970129005,0.0,cohort
22,equal,variable,354,27,0.08022891741063749,0.011877368167001214,cohort
22,fcfs,new,71,6,0.08587983786805219,0.0037831327652341927,cohort
22,fcfs,regular,323,27,0.041199690790913346,0.0,cohort
22,fcfs,variable,354,27,0.078678294426979,0.011877368167001214,cohort
22,history,new,71,6,0.04004521601278933,0.0037831327652341927,cohort
22,history,regular,323,27,0.006288281548680131,0.0,cohort
22,history,variable,354,27,0.09925630604550181,0.011877368167001214,cohort
22,laxity,new,71,6,0.05984584934505811,0.0037831327652341927,cohort
22,laxity,regular,323,27,0.007899288626292515,0.0,cohort
22,laxity,variable,354,27,0.11682403265541111,0.011877368167001214,cohort
22,maxmin,new,71,6,0.10405770266905716,0.0037831327652341927,cohort
22,maxmin,regular,323,27,0.06776480131521428,0.0,cohort
22,maxmin,variable,354,27,0.09969701328321898,0.011877368167001214,cohort
22,pf_mpc,new,71,6,0.03681905744111984,0.0037831327652341927,cohort
22,pf_mpc,regular,323,27,0.0024458108369289308,0.0,cohort
22,pf_mpc,variable,354,27,0.10876530381850996,0.011877368167001214,cohort
22,point,new,71,6,0.1700008137121927,0.0037831327652341927,cohort
22,point,regular,323,27,0.10674807860778078,0.0,cohort
22,point,variable,354,27,0.22996914882856415,0.011877368167001214,cohort
22,point_history,new,71,6,0.1707007317634025,0.0037831327652341927,cohort
22,point_history,regular,323,27,0.11382110808482859,0.0,cohort
22,point_history,variable,354,27,0.22733876984724838,0.011877368167001214,cohort
22,stochastic,new,71,6,0.03865006568495524,0.0037831327652341927,cohort
22,stochastic,regular,323,27,0.003114411650134233,0.0,cohort
22,stochastic,variable,354,27,0.10792351363102637,0.011877368167001214,cohort
33,debt_share,new,86,6,0.06315480510063415,0.0029058856254587746,cohort
33,debt_share,regular,353,27,0.04887808850764192,0.00016478944424771247,cohort
33,debt_share,variable,331,27,0.08778904858125364,0.013247751791152992,cohort
33,edf,new,86,6,0.09543110856708807,0.0029058856254587746,cohort
33,edf,regular,353,27,0.021784559837303787,0.00016478944424771247,cohort
33,edf,variable,331,27,0.09385745038250691,0.013247751791152992,cohort
33,equal,new,86,6,0.05761195954206056,0.0029058856254587746,cohort
33,equal,regular,353,27,0.0510285598377627,0.00016478944424771247,cohort
33,equal,variable,331,27,0.10574199768669607,0.013247751791152992,cohort
33,fcfs,new,86,6,0.09848580250659361,0.0029058856254587746,cohort
33,fcfs,regular,353,27,0.03695425600368098,0.00016478944424771247,cohort
33,fcfs,variable,331,27,0.10749631420914983,0.013247751791152992,cohort
33,history,new,86,6,0.08889131430525767,0.0029058856254587746,cohort
33,history,regular,353,27,0.011514036864350919,0.00016478944424771247,cohort
33,history,variable,331,27,0.09545449114974124,0.013247751791152992,cohort
33,laxity,new,86,6,0.11551584190432868,0.0029058856254587746,cohort
33,laxity,regular,353,27,0.006580529289810988,0.00016478944424771247,cohort
33,laxity,variable,331,27,0.12649175602406001,0.013247751791152992,cohort
33,maxmin,new,86,6,0.10917771592469205,0.0029058856254587746,cohort
33,maxmin,regular,353,27,0.07122535113905969,0.00016478944424771247,cohort
33,maxmin,variable,331,27,0.1240252846828753,0.013247751791152992,cohort
33,pf_mpc,new,86,6,0.09657893693173279,0.0029058856254587746,cohort
33,pf_mpc,regular,353,27,0.003806002582365905,0.00016478944424771247,cohort
33,pf_mpc,variable,331,27,0.11229491573426872,0.013247751791152992,cohort
33,point,new,86,6,0.19793845931730025,0.0029058856254587746,cohort
33,point,regular,353,27,0.08416462371526333,0.00016478944424771247,cohort
33,point,variable,331,27,0.2226277552887104,0.013247751791152992,cohort
33,point_history,new,86,6,0.187853405174983,0.0029058856254587746,cohort
33,point_history,regular,353,27,0.09074281084092238,0.00016478944424771247,cohort
33,point_history,variable,331,27,0.2154630008557347,0.013247751791152992,cohort
33,stochastic,new,86,6,0.09607066437407986,0.0029058856254587746,cohort
33,stochastic,regular,353,27,0.005150429075903202,0.00016478944424771247,cohort
33,stochastic,variable,331,27,0.11148021861880228,0.013247751791152992,cohort
44,debt_share,new,70,6,0.05087972758813577,0.004174842664423108,cohort
44,debt_share,regular,314,27,0.033666819129769834,0.0005054714748164908,cohort
44,debt_share,variable,360,27,0.07155450100803452,0.017322697439190928,cohort
44,edf,new,70,6,0.03336974261478037,0.004174842664423108,cohort
44,edf,regular,314,27,0.014761722114933278,0.0005054714748164908,cohort
44,edf,variable,360,27,0.08018109720330395,0.017322697439190928,cohort
44,equal,new,70,6,0.05436795639536417,0.004174842664423108,cohort
44,equal,regular,314,27,0.037019726941915784,0.0005054714748164908,cohort
44,equal,variable,360,27,0.078165191300505,0.017322697439190928,cohort
44,fcfs,new,70,6,0.041833704515081116,0.004174842664423108,cohort
44,fcfs,regular,314,27,0.033120882466458404,0.0005054714748164908,cohort
44,fcfs,variable,360,27,0.07920152461792195,0.017322697439190928,cohort
44,history,new,70,6,0.026464378289275114,0.004174842664423108,cohort
44,history,regular,314,27,0.009474369738297007,0.0005054714748164908,cohort
44,history,variable,360,27,0.07960732373927719,0.017322697439190928,cohort
44,laxity,new,70,6,0.02523855143145607,0.004174842664423108,cohort
44,laxity,regular,314,27,0.008108105008929273,0.0005054714748164908,cohort
44,laxity,variable,360,27,0.09478073332244276,0.017322697439190928,cohort
44,maxmin,new,70,6,0.06534143021751299,0.004174842664423108,cohort
44,maxmin,regular,314,27,0.057402168632985875,0.0005054714748164908,cohort
44,maxmin,variable,360,27,0.08694581980588761,0.017322697439190928,cohort
44,pf_mpc,new,70,6,0.02039763677630956,0.004174842664423108,cohort
44,pf_mpc,regular,314,27,0.006573537474660619,0.0005054714748164908,cohort
44,pf_mpc,variable,360,27,0.08536960938066249,0.017322697439190928,cohort
44,point,new,70,6,0.10477161340976757,0.004174842664423108,cohort
44,point,regular,314,27,0.08561373997033483,0.0005054714748164908,cohort
44,point,variable,360,27,0.19151037119347128,0.017322697439190928,cohort
44,point_history,new,70,6,0.09961049596945562,0.004174842664423108,cohort
44,point_history,regular,314,27,0.09289394269824498,0.0005054714748164908,cohort
44,point_history,variable,360,27,0.18710367630908845,0.017322697439190928,cohort
44,stochastic,new,70,6,0.020397636776309524,0.004174842664423108,cohort
44,stochastic,regular,314,27,0.00812215090635533,0.0005054714748164908,cohort
44,stochastic,variable,360,27,0.08405255721512617,0.017322697439190928,cohort
55,debt_share,new,77,6,0.022191393985263062,0.00014594435003414025,cohort
55,debt_share,regular,321,27,0.02661070619000395,0.0,cohort
55,debt_share,variable,342,27,0.04648550067013491,0.009984190399359483,cohort
55,edf,new,77,6,0.03639398348698795,0.00014594435003414025,cohort
55,edf,regular,321,27,0.008822228623923673,0.0,cohort
55,edf,variable,342,27,0.061195551779108306,0.009984190399359483,cohort
55,equal,new,77,6,0.018949151562734405,0.00014594435003414025,cohort
55,equal,regular,321,27,0.02681879910841912,0.0,cohort
55,equal,variable,342,27,0.05031955942118063,0.009984190399359483,cohort
55,fcfs,new,77,6,0.03664644190707902,0.00014594435003414025,cohort
55,fcfs,regular,321,27,0.026192193686613657,0.0,cohort
55,fcfs,variable,342,27,0.04669333388495979,0.009984190399359483,cohort
55,history,new,77,6,0.02275772052177675,0.00014594435003414025,cohort
55,history,regular,321,27,0.002836012204473483,0.0,cohort
55,history,variable,342,27,0.058881369844216026,0.009984190399359483,cohort
55,laxity,new,77,6,0.021047733015569656,0.00014594435003414025,cohort
55,laxity,regular,321,27,0.002543270717541108,0.0,cohort
55,laxity,variable,342,27,0.07440699471823421,0.009984190399359483,cohort
55,maxmin,new,77,6,0.04249122080265379,0.00014594435003414025,cohort
55,maxmin,regular,321,27,0.041698855613837064,0.0,cohort
55,maxmin,variable,342,27,0.06670053454538703,0.009984190399359483,cohort
55,pf_mpc,new,77,6,0.02162771899525018,0.00014594435003414025,cohort
55,pf_mpc,regular,321,27,0.00219718470696369,0.0,cohort
55,pf_mpc,variable,342,27,0.06408193211405004,0.009984190399359483,cohort
55,point,new,77,6,0.13245243841248394,0.00014594435003414025,cohort
55,point,regular,321,27,0.08265881224779546,0.0,cohort
55,point,variable,342,27,0.18880690134309305,0.009984190399359483,cohort
55,point_history,new,77,6,0.1292737565457868,0.00014594435003414025,cohort
55,point_history,regular,321,27,0.08178113981160426,0.0,cohort
55,point_history,variable,342,27,0.18542756588434045,0.009984190399359483,cohort
55,stochastic,new,77,6,0.021826474859260207,0.00014594435003414025,cohort
55,stochastic,regular,321,27,0.00240625273537295,0.0,cohort
55,stochastic,variable,342,27,0.06252167903118505,0.009984190399359483,cohort
11,debt_share,<=3h,18,12,0.5168912063882574,0.224952070424976,dwell_band
11,debt_share,3-6h,245,48,0.10951662736641829,0.005203764721523572,dwell_band
11,debt_share,>6h,510,60,0.006709635093086014,0.0,dwell_band
11,edf,<=3h,18,12,0.2747149058855528,0.224952070424976,dwell_band
11,edf,3-6h,245,48,0.07528637979708219,0.005203764721523572,dwell_band
11,edf,>6h,510,60,0.01061287672044327,0.0,dwell_band
11,equal,<=3h,18,12,0.5106738134496387,0.224952070424976,dwell_band
11,equal,3-6h,245,48,0.12138494245266448,0.005203764721523572,dwell_band
11,equal,>6h,510,60,0.0062790251218357955,0.0,dwell_band
11,fcfs,<=3h,18,12,0.5193833632770236,0.224952070424976,dwell_band
11,fcfs,3-6h,245,48,0.10466359022746957,0.005203764721523572,dwell_band
11,fcfs,>6h,510,60,0.006377781941998617,0.0,dwell_band
11,history,<=3h,18,12,0.2687742926813216,0.224952070424976,dwell_band
11,history,3-6h,245,48,0.06970615478788093,0.005203764721523572,dwell_band
11,history,>6h,510,60,0.005924878512075802,0.0,dwell_band
11,laxity,<=3h,18,12,0.4899954078988722,0.224952070424976,dwell_band
11,laxity,3-6h,245,48,0.08676898496358118,0.005203764721523572,dwell_band
11,laxity,>6h,510,60,0.00394774005386728,0.0,dwell_band
11,maxmin,<=3h,18,12,0.5679695198683015,0.224952070424976,dwell_band
11,maxmin,3-6h,245,48,0.16561708865288424,0.005203764721523572,dwell_band
