variant,policy,metric,mean,low,high,n
early,history,tail,0.029071235154383257,0.01679009856165091,0.041352371747115604,5
early,history,delivered,-98.83075077091198,-123.34292428725003,-74.31857725457392,5
early,history,new_shortfall,0.0053174854316396175,-0.016962935827646165,0.0275979066909254,5
empirical,history,tail,-0.017284854659227696,-0.04494103857291441,0.010371329254459018,5
empirical,history,delivered,-70.73255348523489,-170.49485078057427,29.029743810104492,5
empirical,history,new_shortfall,-0.001347726516295305,-0.019745805280541654,0.017050352247951043,5
horizon_12h,history,tail,-3.8857805861880476e-17,-8.509490509785664e-17,7.379293374095687e-18,5
horizon_12h,history,delivered,3.637978807091713e-13,-6.462669644671401e-13,1.3738627258854826e-12,5
horizon_12h,history,new_shortfall,-4.371503159461554e-17,-7.471985202379757e-17,-1.27102111654335e-17,5
larger_requests,history,tail,0.09880776442105055,0.07320421853074788,0.12441131031135322,5
larger_requests,history,delivered,1882.0475707299593,1489.2313837194288,2274.8637577404897,5
larger_requests,history,new_shortfall,0.07251956976821092,0.04083455844935516,0.10420458108706668,5
larger_requests,pf_mpc,tail,0.13371056016684027,0.11605107941862007,0.15137004091506046,5
larger_requests,pf_mpc,delivered,2016.2131983023942,1692.4042647760384,2340.02213182875,5
larger_requests,pf_mpc,new_shortfall,0.06725607874709746,0.030954998325389983,0.10355715916880495,5
late,history,tail,0.21909656791460752,0.13586861851150078,0.30232451731771426,5
late,history,delivered,-1448.9898836945104,-1818.8878533881907,-1079.09191400083,5
late,history,new_shortfall,0.11245357383146315,0.02742074166619972,0.19748640599672657,5
narrow,history,tail,0.052349282577165854,0.011097640996377306,0.0936009241579544,5
narrow,history,delivered,-217.54844951576416,-290.3401931303306,-144.75670590119776,5
narrow,history,new_shortfall,0.025553517565464295,-0.006459792708429887,0.05756682783935847,5
shorter_stay,history,tail,0.1336631734515033,0.09498211623121006,0.17234423067179655,5
shorter_stay,history,delivered,-1174.2791863753198,-1408.3379189191833,-940.2204538314563,5
shorter_stay,history,new_shortfall,0.0735097038243678,0.04332427997175524,0.10369512767698037,5
shorter_stay,pf_mpc,tail,0.14615502922079548,0.11124517815371718,0.1810648802878738,5
shorter_stay,pf_mpc,delivered,-1157.82701614993,-1397.0067184113823,-918.6473138884776,5
shorter_stay,pf_mpc,new_shortfall,0.06322450441595137,0.031193416956032186,0.09525559187587056,5
uncalibrated,history,tail,0.001580139309673123,-0.002249785611377579,0.005410064230723825,5
uncalibrated,history,delivered,0.8901063326262374,-9.524295571602561,11.304508236855035,5
uncalibrated,history,new_shortfall,-0.0001898348701349629,-0.001432465362408877,0.0010527956221389513,5
wide,history,tail,-0.00012757746566443852,-0.006033365545728239,0.005778210614399362,5
wide,history,delivered,-7.798845838973284,-42.81717312260889,27.21948144466232,5
wide,history,new_shortfall,-0.0011065659300237818,-0.007079492311037279,0.0048663604509897145,5
