variant,policy,tail,delivered,cost_per_kwh,new_shortfall
early,history,0.19178739473355944,13839.008123173495,0.15484435054035917,0.04380050320249374
empirical,history,0.1454313049199485,13867.106320459172,0.15491570202333133,0.03713529125455882
horizon_12h,history,0.16271615957917612,13937.838873944409,0.1558388674414767,0.038483017770854076
larger_requests,history,0.2615239240002267,15819.886444674365,0.173089153307654,0.11100258753906504
larger_requests,pf_mpc,0.322000178970557,15925.497265745187,0.17408082766771749,0.10513809169760635
late,history,0.3818127274937837,12488.848990249895,0.13846651981890598,0.15093659160231726
narrow,history,0.21506544215634205,13720.290424428642,0.15543419992284896,0.06403653533631842
shorter_stay,history,0.29637933303067954,12763.559687569086,0.14470582930371925,0.11199272159522193
shorter_stay,pf_mpc,0.3344446480245122,12751.457051292862,0.14473948827490007,0.10110651736646026
uncalibrated,history,0.16429629888884928,13938.728980277034,0.15585672294140399,0.03829318290071916
wide,history,0.16258858211351174,13930.040028105432,0.15560941397543698,0.03737645184083034
